Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 3.1 LA (low SP)_EV1,22.0,44,47.667,4.68,62.91,50.111,5.5,63.09,50.054,11.768,65.901,88.0,200,6.09,31.124,47.82,4.54,31.124,47.658,0.205,58.833,70.017,9.187,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV2,18.0,36,39.0,4.23,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,251,6.418,27.107,40.639,3.811,27.107,40.476,0.232,50.019,60.585,10.291,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV3,22.5,45,48.75,4.99,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,105,6.229,32.104,49.597,4.525,32.104,49.406,0.238,60.759,72.96,5.184,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV4,19.5,39,42.25,4.49,55.76,44.417,4.875,55.92,44.366,10.43,58.412,78.0,179,6.492,29.817,45.052,3.657,29.817,44.938,0.173,53.96,64.621,7.983,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV5,21.0,42,45.5,4.34,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,248,6.536,32.651,47.874,3.767,32.651,47.763,0.169,57.042,67.995,10.467,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV6,20.0,40,43.333,4.33,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,214,6.729,29.552,45.642,3.849,29.552,45.53,0.154,54.927,64.657,9.444,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV7,20.5,41,44.417,4.48,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,170,6.582,30.846,45.754,4.047,30.846,45.596,0.211,55.654,65.167,7.687,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV8,22.5,45,48.75,5.06,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,103,6.233,32.77,50.058,4.612,32.77,49.895,0.197,61.311,73.866,4.846,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV9,20.5,41,44.417,4.6,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,195,5.923,30.901,46.215,4.1,30.901,46.073,0.193,56.195,67.761,8.087,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV10,22.0,44,47.667,4.89,62.91,50.111,5.5,63.09,50.054,11.768,65.901,88.0,191,6.162,33.279,50.207,4.242,33.279,50.085,0.159,60.457,70.439,7.843,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV11,18.5,37,40.083,3.9,52.9,42.139,4.625,53.05,42.091,9.896,55.417,74.0,206,6.058,26.793,41.333,3.627,26.793,41.231,0.16,50.078,58.798,8.752,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV12,20.0,40,43.333,4.65,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,193,6.047,30.193,44.667,4.138,30.193,44.495,0.234,54.885,65.637,7.521,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV13,21.0,42,45.5,4.49,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,263,6.586,32.436,48.467,3.953,32.436,48.342,0.174,58.054,68.33,10.667,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV14,22.5,45,48.75,4.74,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,221,6.543,30.558,48.794,4.707,30.558,48.679,0.138,60.08,71.191,9.107,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV15,22.0,44,47.667,4.65,62.91,50.111,5.5,63.09,50.054,11.768,65.901,88.0,162,6.426,32.06,48.302,4.457,32.06,48.175,0.161,59.066,69.059,7.119,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV16,21.0,42,45.5,4.49,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,212,6.896,32.348,47.761,3.779,32.348,47.624,0.199,57.011,66.138,9.463,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV17,20.0,40,43.333,4.54,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,183,6.612,32.482,46.814,3.725,32.482,46.684,0.197,55.941,66.02,7.667,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV18,20.5,41,44.417,4.63,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,242,6.074,32.157,47.928,3.965,32.157,47.832,0.138,57.459,66.752,9.265,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV19,20.5,41,44.417,4.41,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,192,6.109,29.934,45.152,4.072,29.934,44.959,0.247,55.205,64.917,8.028,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV20,21.0,42,45.5,4.39,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,354,6.342,29.8,46.268,4.037,29.8,46.111,0.213,56.187,67.075,21.03,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV21,21.0,42,45.5,4.34,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,140,6.036,31.194,47.615,4.109,31.194,47.484,0.181,57.621,67.523,8.542,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV22,17.5,35,37.917,4.02,50.04,39.861,4.375,50.19,39.816,9.361,52.421,70.0,196,5.872,28.194,40.316,3.273,28.194,40.172,0.239,48.433,56.567,12.686,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV23,21.0,42,45.5,4.49,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,260,6.4,34.19,48.736,3.769,34.19,48.595,0.2,57.969,68.477,17.228,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV24,22.5,45,48.75,4.64,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,136,5.478,31.515,48.943,4.56,31.515,48.839,0.128,59.863,71.854,7.861,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV25,20.5,41,44.417,4.41,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,253,6.292,31.186,46.214,3.966,31.186,46.098,0.167,55.827,66.306,18.756,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV26,22.0,44,47.667,4.96,62.91,50.111,5.5,63.09,50.054,11.768,65.901,88.0,185,6.114,32.786,49.096,4.359,32.786,48.904,0.236,59.844,70.436,9.194,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV27,10.5,21,22.75,3.29,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42.0,94,5.191,16.1,24.573,2.3,16.1,24.405,0.434,30.696,37.012,4.392,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV28,18.5,37,40.083,4.67,52.9,42.139,4.625,53.05,42.091,9.896,55.417,74.0,127,5.874,29.168,42.144,3.745,29.168,41.907,0.338,51.649,61.256,5.965,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV29,21.0,42,45.5,4.44,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,210,6.252,29.46,46.854,3.889,29.46,46.696,0.228,56.461,67.769,9.88,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV30,21.5,43,46.583,4.68,61.48,48.972,5.375,61.66,48.917,11.5,64.403,86.0,182,6.385,33.317,49.23,4.162,33.317,49.133,0.133,59.203,69.347,8.258,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV31,21.0,42,45.5,4.64,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,274,6.562,31.772,47.435,4.123,31.772,47.309,0.174,57.45,67.342,11.699,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV32,22.5,45,48.75,4.79,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,405,6.565,34.545,51.142,4.238,34.545,51.016,0.168,61.425,71.983,16.49,2.0,2.0,beta,1000000
Set 3.1 LA (low SP)_EV33,23.5,47,50.917,4.99,67.2,53.528,5.875,67.39,53.467,12.57,70.394,94.0,266,6.598,32.727,51.268,4.697,32.727,51.069,0.235,62.845,77.34,11.584,2.0,2.0,beta,1000000
