"Filepath","Optimistic","CPM","PERT","PERT.SD","PERT..99..","BB.2.Mean","BB.2.SD","BB.2..99..","Lognormal.Mean","Lognormal.SD","Lognormal..99..","Pessimistic","Number.of.Paths","Average.Nodes.Path","Sim.Min","Sim.Mean","Sim.SD","Sim.Mode","Sim.Median","Sim.Skewness","Sim.99.","Sim.Max","Sim.Time..Seconds.","a...ml..","b...ml..","Activity.Distribution","Number.of.Simulations","source_file","SP","LA","AD","TF"
"Set 1 SP_EV1",13,26,28.167,3.84,37.17,29.611,3.25,37.28,29.578,6.954,38.941,52,24,3.833,16.136,28.291,3.738,16.136,28.135,0.228,37.404,45.91,1.656,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
"Set 1 SP_EV2",12,24,26,3.59,34.31,27.333,3,34.41,27.302,6.419,35.946,48,38,4.211,16.837,27.404,2.99,16.837,27.223,0.31,34.911,41.756,2.03,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
"Set 1 SP_EV3",11.5,23,24.917,3.4,32.88,26.194,2.875,32.98,26.165,6.151,34.448,46,50,4.22,16.78,26.257,2.614,16.78,26.067,0.405,33.107,40.091,2.282,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
"Set 1 SP_EV4",12.5,25,27.083,3.63,35.74,28.472,3.125,35.85,28.44,6.686,37.444,50,59,4.186,17.532,27.647,3.106,17.532,27.337,0.478,35.795,43.394,2.515,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
"Set 1 SP_EV5",14,28,30.333,4.06,40.03,31.889,3.5,40.15,31.853,7.488,41.937,56,47,4.213,20.989,32.125,3.492,20.989,31.85,0.387,41.046,51.034,2.275,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
"Set 1 SP_EV6",10,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40,47,4.021,14.888,23.893,2.599,14.888,23.745,0.32,30.485,36.841,2.141,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
"Set 1 SP_EV7",10.5,21,22.75,3.05,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42,33,3.879,14.629,23.993,2.583,14.629,23.89,0.226,30.361,36.029,1.907,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
"Set 1 SP_EV8",11.5,23,24.917,3.36,32.88,26.194,2.875,32.98,26.165,6.151,34.448,46,39,3.949,16.452,26.064,2.718,16.452,25.915,0.315,33.021,40.443,2.024,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
"Set 1 SP_EV9",13,26,28.167,3.79,37.17,29.611,3.25,37.28,29.578,6.954,38.941,52,58,4.362,19.968,29.721,2.887,19.968,29.502,0.421,37.307,46.313,2.537,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
"Set 1 SP_EV10",10,20,21.667,2.89,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40,25,3.28,13.253,22.135,2.573,13.253,21.994,0.297,28.63,35.019,1.626,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
"Set 1 SP_EV11",13.5,27,29.25,3.9,38.6,30.75,3.375,38.71,30.715,7.221,40.439,54,47,4.17,16.575,29.619,3.748,16.575,29.492,0.185,38.686,47.546,2.356,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
"Set 1 SP_EV12",10.5,21,22.75,3.17,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42,43,4,14.336,23.2,2.781,14.336,22.961,0.413,30.365,37.583,2.143,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
"Set 1 SP_EV13",11,22,23.833,3.22,31.45,25.056,2.75,31.55,25.027,5.884,32.95,44,33,3.97,16.283,25.491,2.532,16.283,25.367,0.284,31.893,38.5,1.923,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
"Set 1 SP_EV14",8,16,17.333,2.35,22.87,18.222,2,22.94,18.202,4.279,23.964,32,28,3.571,11.003,17.733,2.056,11.003,17.593,0.358,22.96,28.047,1.742,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
"Set 1 SP_EV15",11.5,23,24.917,3.61,32.88,26.194,2.875,32.98,26.165,6.151,34.448,46,31,3.903,14.3,25.73,3.179,14.3,25.576,0.268,33.63,40.567,1.912,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
"Set 1 SP_EV16",12,24,26,3.52,34.31,27.333,3,34.41,27.302,6.419,35.946,48,36,4.139,17.397,27.852,3.029,17.397,27.702,0.264,35.345,41.649,2.05,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
"Set 1 SP_EV17",9,18,19.5,3.2,25.73,20.5,2.25,25.81,20.477,4.814,26.959,36,61,4.082,13.963,22.587,2.413,13.963,22.507,0.186,28.448,33.913,2.582,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
"Set 1 SP_EV18",10.5,21,22.75,3.21,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42,34,3.794,14.58,23.952,2.68,14.58,23.822,0.263,30.62,36.981,1.953,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
"Set 1 SP_EV19",9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,28.457,38,35,3.829,13.33,22.415,2.552,13.33,22.238,0.361,28.934,34.782,1.974,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
"Set 1 SP_EV20",13,26,28.167,3.84,37.17,29.611,3.25,37.28,29.578,6.954,38.941,52,97,4.66,19.222,30.151,3.084,19.222,29.992,0.278,37.854,45.373,3.645,2,2,"beta",1000000,"Set 1 SP Completion Times - Beta",0.1,"Rand","Rand","Rand"
