Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 3.3 LA (high SP)_EV1,72.0,144,156.0,8.23,205.87,164.0,18.0,206.48,163.815,38.512,215.675,288.0,18,21.667,130.22,163.817,8.82,130.22,163.332,0.33,186.506,226.216,3.358,2.0,2.0,lognormal,1000000
Set 3.3 LA (high SP)_EV2,52.5,105,113.75,6.45,150.12,119.583,13.125,150.56,119.448,28.082,157.263,210.0,30,22.867,94.523,119.986,6.88,94.523,119.56,0.384,137.978,163.394,4.676,2.0,2.0,lognormal,1000000
Set 3.3 LA (high SP)_EV3,72.0,144,156.0,8.19,205.87,164.0,18.0,206.48,163.815,38.512,215.675,288.0,48,22.0,128.999,164.227,8.731,128.999,163.763,0.329,186.72,218.221,6.367,2.0,2.0,lognormal,1000000
Set 3.3 LA (high SP)_EV4,66.5,133,144.083,7.48,190.15,151.472,16.625,190.71,151.301,35.57,199.2,266.0,18,18.889,122.207,151.368,7.989,122.207,150.928,0.337,171.947,199.336,3.214,2.0,2.0,lognormal,1000000
Set 3.3 LA (high SP)_EV5,66.5,133,144.083,7.89,190.15,151.472,16.625,190.71,151.301,35.57,199.2,266.0,18,20.667,116.954,151.316,8.434,116.954,150.841,0.346,173.09,204.01,3.481,2.0,2.0,lognormal,1000000
Set 3.3 LA (high SP)_EV6,52.0,104,112.667,6.46,148.69,118.444,13.0,149.12,118.311,27.814,155.766,208.0,15,20.933,96.764,121.086,7.037,96.764,120.626,0.407,139.576,177.795,3.093,2.0,2.0,lognormal,1000000
Set 3.3 LA (high SP)_EV7,68.0,136,147.333,8.12,194.44,154.889,17.0,195.01,154.714,36.373,203.693,272.0,24,24.5,122.051,155.388,8.667,122.051,154.889,0.353,177.88,216.556,4.367,2.0,2.0,lognormal,1000000
Set 3.3 LA (high SP)_EV8,52.0,104,112.667,6.24,148.69,118.444,13.0,149.12,118.311,27.814,155.766,208.0,24,23.25,92.316,118.598,6.662,92.316,118.194,0.375,135.95,165.739,4.259,2.0,2.0,lognormal,1000000
Set 3.3 LA (high SP)_EV9,59.0,118,127.833,7.19,168.7,134.389,14.75,169.2,134.237,31.559,176.734,236.0,28,24.0,106.706,134.498,7.687,106.706,134.03,0.378,154.572,190.244,4.85,2.0,2.0,lognormal,1000000
Set 3.3 LA (high SP)_EV10,64.0,128,138.667,7.21,183.0,145.778,16.0,183.54,145.613,34.233,191.711,256.0,16,20.75,118.239,146.041,7.711,118.239,145.622,0.333,165.873,198.389,3.217,2.0,2.0,lognormal,1000000
Set 3.3 LA (high SP)_EV11,72.5,145,157.083,7.97,207.3,165.139,18.125,207.91,164.952,38.78,217.173,290.0,20,20.8,134.335,166.102,8.546,134.335,165.66,0.31,187.928,220.262,3.628,2.0,2.0,lognormal,1000000
Set 3.3 LA (high SP)_EV12,72.5,145,157.083,8.21,207.3,165.139,18.125,207.91,164.952,38.78,217.173,290.0,18,20.778,133.124,166.126,8.706,133.124,165.67,0.326,188.471,216.243,3.383,2.0,2.0,lognormal,1000000
Set 3.3 LA (high SP)_EV13,61.0,122,132.167,7.34,174.42,138.944,15.25,174.93,138.787,32.628,182.725,244.0,22,21.0,110.147,138.999,7.836,110.147,138.541,0.362,159.392,191.12,3.778,2.0,2.0,lognormal,1000000
