Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 4.1 TF (low SP)_EV1,21.0,42,45.5,4.51,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,157,6.134,35.378,50.107,4.711,35.378,49.642,0.632,63.235,87.711,6.46,2.0,2.0,lognormal,1000000
Set 4.1 TF (low SP)_EV2,16.0,32,34.667,3.37,45.75,36.444,4.0,45.88,36.403,8.558,47.928,64.0,180,6.25,27.326,38.694,3.6,27.326,38.297,0.743,49.008,70.497,7.822,2.0,2.0,lognormal,1000000
Set 4.1 TF (low SP)_EV3,18.0,36,39.0,4.54,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,263,6.228,31.926,45.436,4.318,31.926,44.95,0.743,57.864,85.736,10.154,2.0,2.0,lognormal,1000000
Set 4.1 TF (low SP)_EV4,19.0,38,41.167,4.43,54.33,43.278,4.75,54.49,43.229,10.163,56.914,76.0,75,5.973,30.456,43.919,4.501,30.456,43.423,0.72,56.764,77.382,4.047,2.0,2.0,lognormal,1000000
Set 4.1 TF (low SP)_EV5,18.0,36,39.0,4.14,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,140,6.043,29.598,42.223,4.141,29.598,41.772,0.715,54.018,78.601,6.482,2.0,2.0,lognormal,1000000
Set 4.1 TF (low SP)_EV6,15.0,30,32.5,3.66,42.89,34.167,3.75,43.02,34.128,8.023,44.932,60.0,238,6.172,25.172,36.652,3.759,25.172,36.196,0.813,47.619,71.96,9.845,2.0,2.0,lognormal,1000000
Set 4.1 TF (low SP)_EV7,24.0,48,52.0,4.96,68.62,54.667,6.0,68.83,54.605,12.837,71.892,96.0,100,6.29,40.686,56.121,5.063,40.686,55.63,0.619,70.178,100.09,5.073,2.0,2.0,lognormal,1000000
Set 4.1 TF (low SP)_EV8,20.5,41,44.417,4.38,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,104,6.317,35.391,49.155,4.537,35.391,48.686,0.677,61.969,97.324,5.023,2.0,2.0,lognormal,1000000
Set 4.1 TF (low SP)_EV9,16.0,32,34.667,4.0,45.75,36.444,4.0,45.88,36.403,8.558,47.928,64.0,177,5.893,27.445,39.272,3.979,27.445,38.799,0.804,50.848,86.351,7.361,2.0,2.0,lognormal,1000000
Set 4.1 TF (low SP)_EV10,17.0,34,36.833,4.02,48.61,38.722,4.25,48.75,38.678,9.093,50.923,68.0,173,5.988,27.522,39.771,4.207,27.522,39.308,0.717,51.751,81.76,7.317,2.0,2.0,lognormal,1000000
Set 4.1 TF (low SP)_EV11,17.5,35,37.917,4.41,50.04,39.861,4.375,50.19,39.816,9.361,52.421,70.0,95,6.337,30.805,43.37,4.192,30.805,42.876,0.785,55.522,96.751,4.957,2.0,2.0,lognormal,1000000
Set 4.1 TF (low SP)_EV12,19.0,38,41.167,4.34,54.33,43.278,4.75,54.49,43.229,10.163,56.914,76.0,169,5.959,30.033,44.729,4.564,30.033,44.26,0.659,57.561,82.713,7.529,2.0,2.0,lognormal,1000000
Set 4.1 TF (low SP)_EV13,16.5,33,35.75,3.99,47.18,37.583,4.125,47.32,37.541,8.826,49.426,66.0,262,6.145,27.956,39.813,3.951,27.956,39.36,0.747,51.188,78.278,10.448,2.0,2.0,lognormal,1000000
