Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 4.2 TF (mid SP)_EV1,40.5,81,87.75,5.73,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162.0,126,10.849,68.267,92.18,6.115,68.267,91.762,0.422,108.353,136.359,8.821,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV2,44.5,89,96.417,6.68,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178.0,126,11.532,74.863,101.542,7.077,74.863,101.04,0.44,120.343,149.301,9.108,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV3,41.5,83,89.917,5.96,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,191,10.665,72.332,95.449,6.439,72.332,94.996,0.439,112.573,138.991,12.294,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV4,43.0,86,93.167,6.16,122.95,97.944,10.75,123.31,97.834,23.0,128.806,172.0,209,11.809,75.166,99.043,6.654,75.166,98.579,0.447,116.731,146.922,14.523,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV5,49.0,98,106.167,7.04,140.11,111.611,12.25,140.52,111.485,26.21,146.779,196.0,167,11.144,84.416,111.548,7.519,84.416,111.055,0.406,131.31,158.917,11.759,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV6,47.0,94,101.833,6.49,134.39,107.056,11.75,134.78,106.935,25.14,140.788,188.0,176,11.233,80.914,107.567,6.986,80.914,107.11,0.397,125.9,153.423,12.288,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV7,34.5,69,74.75,5.31,98.65,78.583,8.625,98.94,78.495,18.454,103.344,138.0,183,10.825,58.941,79.055,5.69,58.941,78.618,0.484,94.343,116.23,12.594,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV8,48.0,96,104.0,6.83,137.25,109.333,12.0,137.65,109.21,25.675,143.784,192.0,249,10.534,84.793,110.003,7.325,84.793,109.52,0.409,129.257,166.7,16.222,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV9,34.5,69,74.75,5.32,98.65,78.583,8.625,98.94,78.495,18.454,103.344,138.0,180,11.383,59.643,79.686,5.645,59.643,79.255,0.484,94.852,118.001,12.69,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV10,45.5,91,98.583,6.7,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182.0,126,11.643,78.885,103.766,7.137,78.885,103.269,0.43,122.658,159.47,9.514,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV11,41.5,83,89.917,5.97,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,210,11.152,71.968,94.453,6.388,71.968,94.022,0.413,111.267,154.16,14.61,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV12,39.5,79,85.583,5.97,112.94,89.972,9.875,113.28,89.871,21.128,118.322,158.0,259,10.521,67.015,89.957,6.386,67.015,89.492,0.459,107.018,130.797,16.497,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV13,42.0,84,91.0,6.22,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168.0,151,12.066,73.622,97.31,6.647,73.622,96.818,0.452,114.989,145.981,11.355,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV14,52.0,104,112.667,7.23,148.69,118.444,13.0,149.12,118.311,27.814,155.766,208.0,112,12.196,88.3,118.62,7.689,88.3,118.133,0.389,138.735,165.353,8.941,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV15,40.5,81,87.75,5.89,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162.0,223,10.664,70.302,92.353,6.286,70.302,91.914,0.436,109.018,133.931,15.043,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV16,50.0,100,108.333,6.87,142.97,113.889,12.5,143.39,113.76,26.745,149.775,200.0,156,11.359,86.954,113.917,7.339,86.954,113.456,0.395,133.168,164.012,11.108,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV17,46.5,93,100.75,6.56,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186.0,142,12.324,81.333,106.839,7.033,81.333,106.363,0.422,125.412,155.309,11.009,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV18,46.5,93,100.75,6.38,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186.0,249,10.843,81.947,105.817,6.806,81.947,105.379,0.391,123.616,149.205,16.197,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV19,48.5,97,105.083,6.76,138.68,110.472,12.125,139.09,110.347,25.942,145.281,194.0,245,11.192,85.933,111.295,7.229,85.933,110.812,0.424,130.403,162.109,16.674,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV20,41.0,82,88.833,6.28,117.23,93.389,10.25,117.58,93.283,21.931,122.815,164.0,160,11.338,70.367,94.016,6.638,70.367,93.55,0.44,111.605,135.325,11.517,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV21,38.0,76,82.333,5.86,108.66,86.556,9.5,108.98,86.458,20.326,113.829,152.0,209,12.335,65.602,87.032,6.248,65.602,86.555,0.48,103.796,131.026,15.722,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV22,46.5,93,100.75,6.56,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186.0,220,10.368,79.278,105.812,7.016,79.278,105.341,0.419,124.34,158.644,14.224,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV23,44.5,89,96.417,6.47,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178.0,242,12.215,78.433,102.482,6.813,78.433,102.02,0.427,120.505,156.985,17.943,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV24,36.5,73,79.083,6.03,104.37,83.139,9.125,104.67,83.045,19.524,109.335,146.0,166,10.693,63.76,85.879,6.272,63.76,85.397,0.482,102.736,135.517,11.611,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV25,45.5,91,98.583,6.5,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182.0,235,11.272,79.157,103.577,6.942,79.157,103.108,0.418,121.887,161.396,16.062,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV26,44.0,88,95.333,6.15,125.81,100.222,11.0,126.18,100.109,23.535,131.802,176.0,112,12.214,77.062,100.613,6.585,77.062,100.167,0.421,117.965,150.355,9.132,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV27,52.0,104,112.667,7.12,148.69,118.444,13.0,149.12,118.311,27.814,155.766,208.0,112,10.679,91.389,118.888,7.573,91.389,118.404,0.398,138.795,167.307,8.282,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV28,42.0,84,91.0,6.4,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168.0,334,10.437,71.792,95.956,6.806,71.792,95.459,0.453,114.092,148.339,20.901,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV29,44.0,88,95.333,6.34,125.81,100.222,11.0,126.18,100.109,23.535,131.802,176.0,199,10.869,74.554,100.135,6.788,74.554,99.671,0.431,118.088,147.93,13.759,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV30,26.5,53,57.417,4.26,75.77,60.361,6.625,76.0,60.293,14.175,79.381,106.0,201,11.239,45.538,61.196,4.649,45.538,60.796,0.552,73.904,99.092,14.074,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV31,44.5,89,96.417,6.44,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178.0,185,11.097,79.086,102.484,6.835,79.086,101.996,0.446,120.676,148.408,13.3,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV32,45.0,90,97.5,6.3,128.67,102.5,11.25,129.05,102.384,24.07,134.797,180.0,187,10.872,77.06,102.427,6.739,77.06,101.984,0.412,120.19,147.151,12.981,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV33,41.5,83,89.917,5.88,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,168,10.946,72.497,94.695,6.231,72.497,94.274,0.424,111.152,139.564,11.65,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV34,35.5,71,76.917,5.31,101.51,80.861,8.875,101.81,80.77,18.989,106.34,142.0,170,11.224,61.157,81.903,5.686,61.157,81.477,0.468,97.131,120.324,12.23,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV35,48.0,96,104.0,6.74,137.25,109.333,12.0,137.65,109.21,25.675,143.784,192.0,212,10.693,85.008,109.463,7.203,85.008,108.984,0.421,128.465,161.219,13.939,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV36,43.0,86,93.167,6.6,122.95,97.944,10.75,123.31,97.834,23.0,128.806,172.0,209,11.694,74.771,99.288,7.039,74.771,98.794,0.444,117.968,147.102,15.175,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV37,49.0,98,106.167,6.84,140.11,111.611,12.25,140.52,111.485,26.21,146.779,196.0,178,10.882,84.667,112.107,7.307,84.667,111.627,0.399,131.285,159.566,12.378,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV38,36.0,72,78.0,5.3,102.94,82.0,9.0,103.24,81.907,19.256,107.838,144.0,280,12.164,63.4,84.67,5.723,63.4,84.245,0.475,100.034,125.482,20.572,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV39,37.5,75,81.25,5.48,107.23,85.417,9.375,107.54,85.32,20.058,112.331,150.0,153,12.503,66.037,88.163,5.774,66.037,87.714,0.497,103.713,135.7,12.035,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV40,46.0,92,99.667,6.32,131.53,104.778,11.5,131.92,104.659,24.605,137.793,184.0,248,12.073,81.632,104.8,6.757,81.632,104.364,0.403,122.572,153.684,18.438,2.0,2.0,lognormal,1000000
Set 4.2 TF (mid SP)_EV41,43.5,87,94.25,6.2,124.38,99.083,10.875,124.75,98.971,23.268,130.304,174.0,241,10.598,77.208,100.252,6.649,77.208,99.788,0.436,117.887,146.189,15.917,2.0,2.0,lognormal,1000000
