Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 2.1 AD (low SP)_EV1,20.0,40,43.333,4.73,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,32.884,50.577,4.85,32.884,50.395,0.195,62.361,72.354,6.253,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV2,20.0,40,43.333,4.5,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,33.243,51.329,4.769,33.243,51.184,0.159,62.792,72.964,10.598,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV3,12.5,25,27.083,2.99,35.74,28.472,3.125,35.85,28.44,6.686,37.444,50.0,18.787,31.961,3.121,18.787,31.906,0.083,39.238,45.284,2.272,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV4,19.5,39,42.25,4.42,55.76,44.417,4.875,55.92,44.366,10.43,58.412,78.0,29.103,47.088,4.998,45.146,46.926,0.182,59.148,69.94,5.101,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV5,24.5,49,53.083,5.18,70.05,55.806,6.125,70.26,55.742,13.105,73.39,98.0,33.837,57.223,6.403,33.837,57.043,0.158,72.633,87.558,4.789,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV6,15.5,31,33.583,3.8,44.32,35.306,3.875,44.45,35.266,8.291,46.43,62.0,22.811,38.408,4.087,22.811,38.252,0.201,48.343,57.744,3.673,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV7,25.5,51,55.25,5.27,72.91,58.083,6.375,73.13,58.018,13.64,76.385,102.0,37.101,60.452,6.14,37.101,60.244,0.19,75.414,89.299,4.535,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV8,22.5,45,48.75,5.11,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,33.497,54.885,5.682,33.497,54.693,0.189,68.645,82.119,12.467,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV9,23.0,46,49.833,4.85,65.77,52.389,5.75,65.96,52.33,12.303,68.896,92.0,32.644,55.235,5.871,32.644,55.1,0.13,69.27,82.249,6.93,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV10,25.0,50,54.167,5.26,71.48,56.944,6.25,71.69,56.88,13.372,74.887,100.0,37.272,59.931,5.856,37.272,59.719,0.202,74.311,91.038,5.795,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV11,20.5,41,44.417,4.34,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,32.913,50.847,4.921,32.913,50.689,0.175,62.765,75.591,7.696,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV12,21.0,42,45.5,4.81,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,35.455,53.698,4.581,35.455,53.559,0.174,64.896,75.272,13.232,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV13,20.5,41,44.417,4.59,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,30.167,49.705,5.219,30.167,49.559,0.157,62.258,74.347,4.496,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV14,24.0,48,52.0,5.06,68.62,54.667,6.0,68.83,54.605,12.837,71.892,96.0,38.657,59.66,5.4,38.657,59.523,0.141,72.58,85.25,6.71,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV15,25.5,51,55.25,5.32,72.91,58.083,6.375,73.13,58.018,13.64,76.385,102.0,37.14,60.228,6.159,37.14,59.971,0.225,75.366,89.384,16.274,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV16,14.0,28,30.333,3.54,40.03,31.889,3.5,40.15,31.853,7.488,41.937,56.0,20.276,35.206,3.648,20.276,35.03,0.239,44.107,51.772,3.381,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV17,19.5,39,42.25,4.38,55.76,44.417,4.875,55.92,44.366,10.43,58.412,78.0,27.402,46.099,5.112,27.402,45.874,0.23,58.682,69.728,3.126,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV18,21.0,42,45.5,4.51,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,32.06,50.773,5.054,32.06,50.576,0.218,63.158,75.698,4.228,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV19,18.0,36,39.0,4.03,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,27.583,44.146,4.536,27.583,43.979,0.199,55.156,64.245,8.17,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV20,21.0,42,45.5,4.87,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,32.388,52.273,5.29,32.388,52.123,0.151,64.959,76.69,9.595,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV21,24.0,48,52.0,5.06,68.62,54.667,6.0,68.83,54.605,12.837,71.892,96.0,36.189,56.838,5.952,36.189,56.623,0.196,71.317,87.336,11.587,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV22,17.0,34,36.833,4.11,48.61,38.722,4.25,48.75,38.678,9.093,50.923,68.0,23.482,39.977,4.855,23.482,39.72,0.266,51.93,62.09,2.535,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV23,25.5,51,55.25,5.32,72.91,58.083,6.375,73.13,58.018,13.64,76.385,102.0,34.991,60.578,6.149,34.991,60.364,0.192,75.558,91.467,8.508,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV24,23.0,46,49.833,4.85,65.77,52.389,5.75,65.96,52.33,12.303,68.896,92.0,36.435,55.694,5.336,36.435,55.471,0.227,68.836,79.677,8.378,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV25,16.5,33,35.75,3.91,47.18,37.583,4.125,47.32,37.541,8.826,49.426,66.0,27.849,42.264,3.781,27.849,42.133,0.19,51.505,60.674,3.568,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV26,16.5,33,35.75,4.19,47.18,37.583,4.125,47.32,37.541,8.826,49.426,66.0,27.716,43.322,3.986,27.716,43.168,0.213,53.137,61.614,3.824,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV27,22.5,45,48.75,4.97,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,32.732,54.531,5.787,32.732,54.388,0.139,68.353,83.374,7.521,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV28,21.5,43,46.583,4.92,61.48,48.972,5.375,61.66,48.917,11.5,64.403,86.0,30.966,52.865,5.375,30.966,52.705,0.167,65.863,77.88,4.854,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV29,21.5,43,46.583,4.82,61.48,48.972,5.375,61.66,48.917,11.5,64.403,86.0,33.209,51.553,5.135,33.209,51.274,0.301,64.542,78.366,6.52,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV30,22.5,45,48.75,4.82,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,34.807,54.208,5.329,34.807,54.001,0.21,67.241,81.652,4.942,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV31,19.5,39,42.25,4.32,55.76,44.417,4.875,55.92,44.366,10.43,58.412,78.0,27.534,45.939,5.102,27.534,45.726,0.225,58.431,70.133,6.184,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV32,18.0,36,39.0,4.24,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,27.031,43.535,4.7,27.031,43.306,0.245,55.098,67.183,5.459,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV33,21.5,43,46.583,4.58,61.48,48.972,5.375,61.66,48.917,11.5,64.403,86.0,29.314,50.77,5.571,29.314,50.627,0.139,64.117,77.921,4.492,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV34,20.0,40,43.333,4.37,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,31.307,49.299,5.024,31.307,49.141,0.163,61.343,71.53,15.356,2.0,2.0,triangular,1000000
Set 2.1 AD (low SP)_EV35,20.5,41,44.417,4.47,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,30.48,49.0,5.034,30.48,48.795,0.217,61.33,72.945,7.716,2.0,2.0,triangular,1000000
