Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 2.2 AD (mid SP)_EV1,46.0,92,99.667,6.45,131.53,104.778,11.5,131.92,104.659,24.605,137.793,184.0,79.115,110.993,7.691,79.115,110.858,0.097,129.287,147.061,127.075,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV2,40.0,80,86.667,5.71,114.37,91.111,10.0,114.71,91.008,21.396,119.82,160.0,61.462,93.326,7.114,61.462,93.206,0.095,110.22,127.224,3.769,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV3,39.0,78,84.5,5.82,111.52,88.833,9.75,111.84,88.733,20.861,116.824,156.0,63.392,92.351,7.137,63.392,92.22,0.104,109.342,128.484,27.701,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV4,43.5,87,94.25,6.31,124.38,99.083,10.875,124.75,98.971,23.268,130.304,174.0,69.452,101.641,7.815,69.452,101.495,0.103,120.266,140.642,18.211,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV5,46.5,93,100.75,6.83,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186.0,79.534,113.217,7.991,79.534,113.106,0.088,132.208,151.563,146.585,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV6,41.5,83,89.917,6.23,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,68.468,98.997,7.296,68.468,98.84,0.121,116.505,134.81,48.113,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV7,44.0,88,95.333,6.21,125.81,100.222,11.0,126.18,100.109,23.535,131.802,176.0,72.225,103.72,7.484,72.225,103.579,0.109,121.573,139.104,10.657,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV8,47.5,95,102.917,6.68,135.82,108.194,11.875,136.22,108.072,25.407,142.286,190.0,80.764,114.129,7.975,80.764,114.004,0.09,133.086,152.505,148.294,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV9,39.0,78,84.5,5.88,111.52,88.833,9.75,111.84,88.733,20.861,116.824,156.0,61.648,91.59,7.084,61.648,91.435,0.123,108.558,125.45,6.839,2.0,2.0,triangular,1000000
Set 2.2 AD (mid SP)_EV10,48.5,97,105.083,6.63,138.68,110.472,12.125,139.09,110.347,25.942,145.281,194.0,75.5,113.163,8.265,75.5,113.032,0.091,132.785,153.093,5.309,2.0,2.0,triangular,1000000
