"Filepath","Optimistic","CPM","PERT","PERT.SD","PERT..99..","BB.2.Mean","BB.2.SD","BB.2..99..","Lognormal.Mean","Lognormal.SD","Lognormal..99..","Pessimistic","Sim.Min","Sim.Mean","Sim.SD","Sim.Mode","Sim.Median","Sim.Skewness","Sim.99.","Sim.Max","Sim.Time..Seconds.","source_file","a...ml..","b...ml..","Activity.Distribution","Number.of.Simulations","Number.of.Paths","Average.Nodes.Path","SP","LA","AD","TF"
"Set 1 SP_EV1",13,26,28.167,3.84,37.17,29.611,3.25,37.28,29.578,6.954,52,52,15.746,30.612,4.564,15.746,30.376,0.267,41.828,50.675,1.651,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV2",12,24,26,3.59,34.31,27.333,3,34.41,27.302,6.419,48,48,16.971,30.062,3.621,16.971,29.841,0.302,39.085,46.212,1.985,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV3",11.5,23,24.917,3.4,32.88,26.194,2.875,32.98,26.165,6.151,46,46,17.982,28.885,3.134,17.982,28.687,0.36,37.015,43.738,2.308,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV4",12.5,25,27.083,3.63,35.74,28.472,3.125,35.85,28.44,6.686,50,50,18.552,30.179,3.674,18.552,29.791,0.527,40.032,47.906,2.455,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV5",14,28,30.333,4.06,40.03,31.889,3.5,40.15,31.853,7.488,56,56,21.877,35.152,4.2,21.877,34.783,0.415,45.974,53.566,2.269,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV6",10,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,40,40,15.448,26.394,3.162,15.448,26.223,0.278,34.265,39.4,2.284,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV7",10.5,21,22.75,3.05,30.02,23.917,2.625,30.11,23.89,5.616,42,42,14.744,26.298,3.178,14.744,26.175,0.207,34.007,40.103,1.883,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV8",11.5,23,24.917,3.36,32.88,26.194,2.875,32.98,26.165,6.151,46,46,16.546,28.618,3.285,16.546,28.487,0.255,36.891,44.423,2.059,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV9",13,26,28.167,3.79,37.17,29.611,3.25,37.28,29.578,6.954,52,52,20.899,32.631,3.474,20.899,32.368,0.409,41.732,49.962,2.548,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV10",10,20,21.667,2.89,28.59,22.778,2.5,28.68,22.752,5.349,40,40,13.341,24.122,3.131,13.341,23.973,0.277,32.008,38.206,1.653,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV11",13.5,27,29.25,3.9,38.6,30.75,3.375,38.71,30.715,7.221,54,54,15.364,32.081,4.641,15.364,31.912,0.197,43.264,51.253,2.256,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV12",10.5,21,22.75,3.17,30.02,23.917,2.625,30.11,23.89,5.616,42,42,13.962,25.322,3.316,13.962,25.022,0.431,33.945,41.04,2.069,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV13",11,22,23.833,3.22,31.45,25.056,2.75,31.55,25.027,5.884,44,44,17.077,28.086,3.08,17.077,27.965,0.221,35.719,42.124,1.855,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
"Set 1 SP_EV14",8,16,17.333,2.35,22.87,18.222,2,22.94,18.202,4.279,32,32,11.025,19.371,2.445,11.025,19.164,0.407,25.693,31.294,1.693,"Set 1 Completion Times Fixed",NA,NA,NA,NA,NA,NA,0.1,"Rand","Rand","Rand"
