Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 3.2 LA (mid SP)_EV1,48.0,96,104.0,6.67,137.25,109.333,12.0,137.65,109.21,25.675,143.784,192.0,536,11.651,79.802,106.182,6.39,79.802,106.087,0.084,121.391,137.048,34.208,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV2,53.5,107,115.917,7.22,152.98,121.861,13.375,153.43,121.723,28.617,160.259,214.0,230,12.626,86.226,116.842,7.076,86.226,116.747,0.087,133.671,150.847,16.973,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV3,31.5,63,68.25,5.11,90.07,71.75,7.875,90.33,71.669,16.849,94.358,126.0,408,13.176,51.686,71.627,4.723,51.686,71.545,0.1,82.884,96.498,29.422,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV4,44.0,88,95.333,6.15,125.81,100.222,11.0,126.18,100.109,23.535,131.802,176.0,444,12.36,68.83,95.477,6.074,68.83,95.379,0.102,109.966,124.135,30.101,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV5,44.5,89,96.417,6.44,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178.0,293,12.133,70.576,97.069,6.237,70.576,96.968,0.1,111.957,127.27,19.724,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV6,45.0,90,97.5,6.25,128.67,102.5,11.25,129.05,102.384,24.07,134.797,180.0,240,12.662,71.965,99.336,6.084,71.965,99.249,0.083,113.779,131.36,17.283,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV7,41.5,83,89.917,6.08,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,310,12.132,64.329,90.329,5.954,64.329,90.218,0.105,104.557,119.57,21.698,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV8,42.5,85,92.083,6.23,121.52,96.806,10.625,121.88,96.696,22.733,127.308,170.0,64,9.531,67.799,92.763,6.102,67.799,92.664,0.095,107.291,123.12,4.685,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV9,52.5,105,113.75,7.11,150.12,119.583,13.125,150.56,119.448,28.082,157.263,210.0,504,12.071,84.612,114.554,7.004,84.612,114.451,0.084,131.185,148.137,33.405,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV10,43.0,86,93.167,6.27,122.95,97.944,10.75,123.31,97.834,23.0,128.806,172.0,340,12.235,70.841,94.796,6.034,70.841,94.701,0.091,109.159,124.008,23.533,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV11,51.0,102,110.5,7.26,145.83,116.167,12.75,146.26,116.035,27.28,152.77,204.0,226,11.319,81.213,111.992,7.049,81.213,111.887,0.089,128.794,147.462,15.056,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV12,49.0,98,106.167,6.85,140.11,111.611,12.25,140.52,111.485,26.21,146.779,196.0,239,11.126,77.516,106.302,6.805,77.516,106.203,0.087,122.478,138.543,16.285,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV13,36.5,73,79.083,5.46,104.37,83.139,9.125,104.67,83.045,19.524,109.335,146.0,252,11.437,57.098,79.651,5.283,57.098,79.558,0.104,92.303,104.33,16.905,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV14,46.5,93,100.75,6.29,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186.0,588,12.862,77.418,101.867,5.97,77.418,101.762,0.102,116.133,132.723,42.479,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV15,43.0,86,93.167,6.22,122.95,97.944,10.75,123.31,97.834,23.0,128.806,172.0,372,13.672,72.936,96.168,5.828,72.936,96.078,0.092,110.05,123.539,28.587,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV16,33.5,67,72.583,5.25,95.79,76.306,8.375,96.07,76.219,17.919,100.349,134.0,62,9.129,52.088,73.474,5.006,52.088,73.388,0.106,85.441,99.719,4.524,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV17,50.0,100,108.333,6.96,142.97,113.889,12.5,143.39,113.76,26.745,149.775,200.0,412,13.039,82.557,110.858,6.556,82.557,110.76,0.087,126.454,142.646,29.635,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV18,38.5,77,83.417,5.86,110.09,87.694,9.625,110.41,87.595,20.593,115.326,154.0,151,12.57,60.18,84.861,5.8,60.18,84.76,0.096,98.628,112.643,11.622,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV19,40.0,80,86.667,5.76,114.37,91.111,10.0,114.71,91.008,21.396,119.82,160.0,151,12.384,61.739,86.68,5.752,61.739,86.592,0.09,100.344,113.491,11.217,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV20,35.0,70,75.833,5.63,100.08,79.722,8.75,100.37,79.632,18.721,104.842,140.0,456,10.586,55.443,77.464,5.153,55.443,77.345,0.137,89.885,101.807,26.441,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV21,45.5,91,98.583,6.38,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182.0,682,14.082,74.002,101.537,6.031,74.002,101.436,0.101,115.92,130.148,52.154,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV22,38.5,77,83.417,5.91,110.09,87.694,9.625,110.41,87.595,20.593,115.326,154.0,230,12.722,59.147,83.642,5.793,59.147,83.527,0.112,97.516,112.2,17.238,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV23,48.0,96,104.0,6.44,137.25,109.333,12.0,137.65,109.21,25.675,143.784,192.0,242,10.525,76.687,104.137,6.404,76.687,104.043,0.082,119.315,137.132,14.726,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV24,40.5,81,87.75,6.24,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162.0,61,9.049,63.013,88.014,6.144,63.013,87.91,0.103,102.659,118.933,4.361,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV25,44.5,89,96.417,6.56,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178.0,280,10.921,66.496,96.542,6.492,66.496,96.427,0.104,112.045,127.534,18.111,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV26,42.5,85,92.083,6.25,121.52,96.806,10.625,121.88,96.696,22.733,127.308,170.0,316,12.278,68.42,93.646,5.828,68.42,93.528,0.112,107.609,122.152,21.666,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV27,40.0,80,86.667,5.66,114.37,91.111,10.0,114.71,91.008,21.396,119.82,160.0,61,9.115,62.839,86.928,5.585,62.839,86.848,0.088,100.229,114.276,4.448,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV28,44.0,88,95.333,6.42,125.81,100.222,11.0,126.18,100.109,23.535,131.802,176.0,333,12.087,69.055,95.543,6.334,69.055,95.434,0.103,110.694,125.761,23.27,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV29,41.5,83,89.917,5.99,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,73,10.301,64.737,90.259,5.921,64.737,90.172,0.092,104.368,120.65,5.381,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV30,41.0,82,88.833,6.13,117.23,93.389,10.25,117.58,93.283,21.931,122.815,164.0,434,13.217,65.138,90.075,5.814,65.138,89.961,0.109,103.973,119.956,31.495,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV31,42.0,84,91.0,6.12,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168.0,159,12.56,68.477,92.625,5.783,68.477,92.518,0.108,106.472,119.538,11.9,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV32,50.5,101,109.417,6.91,144.4,115.028,12.625,144.82,114.898,27.012,151.272,202.0,166,11.831,79.566,111.06,6.769,79.566,110.967,0.076,127.075,144.776,11.962,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV33,34.0,68,73.667,4.9,97.22,77.444,8.5,97.5,77.357,18.186,101.847,136.0,79,10.481,53.244,73.661,4.9,53.244,73.582,0.095,85.332,98.176,5.738,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV34,35.5,71,76.917,5.86,101.51,80.861,8.875,101.81,80.77,18.989,106.34,142.0,168,12.107,55.347,77.519,5.622,55.347,77.387,0.136,91.077,105.473,12.4,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV35,39.5,79,85.583,6.06,112.94,89.972,9.875,113.28,89.871,21.128,118.322,158.0,533,12.679,64.713,88.308,5.642,64.713,88.209,0.102,101.799,116.102,37.482,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV36,43.5,87,94.25,6.34,124.38,99.083,10.875,124.75,98.971,23.268,130.304,174.0,495,11.83,67.826,94.905,6.275,67.826,94.809,0.091,109.856,124.222,33.169,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV37,44.5,89,96.417,6.37,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178.0,679,12.918,69.065,97.059,6.205,69.065,96.964,0.093,111.831,127.864,47.802,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV38,53.5,107,115.917,7.34,152.98,121.861,13.375,153.43,121.723,28.617,160.259,214.0,186,12.258,85.728,116.158,7.307,85.728,116.056,0.083,133.521,150.92,13.677,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV39,42.5,85,92.083,5.98,121.52,96.806,10.625,121.88,96.696,22.733,127.308,170.0,459,11.843,64.948,92.249,5.933,64.948,92.158,0.093,106.374,120.31,31.066,2.0,2.0,beta,1000000
Set 3.2 LA (mid SP)_EV40,45.5,91,98.583,6.51,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182.0,578,13.324,73.157,99.688,6.336,73.157,99.586,0.098,114.802,133.862,42.254,2.0,2.0,beta,1000000
