Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 3.2 LA (mid SP)_EV1,48.0,96,104.0,6.67,137.25,109.333,12.0,137.65,109.21,25.675,143.784,192.0,536,11.651,86.307,111.458,7.142,86.307,110.986,0.41,130.258,159.34,33.372,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV2,53.5,107,115.917,7.22,152.98,121.861,13.375,153.43,121.723,28.617,160.259,214.0,230,12.626,94.799,122.718,7.666,94.799,122.242,0.386,142.748,173.744,17.008,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV3,31.5,63,68.25,5.11,90.07,71.75,7.875,90.33,71.669,16.849,94.358,126.0,408,13.176,56.391,75.152,5.53,56.391,74.696,0.525,90.172,112.545,30.017,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV4,44.0,88,95.333,6.15,125.81,100.222,11.0,126.18,100.109,23.535,131.802,176.0,444,12.36,77.635,100.36,6.563,77.635,99.919,0.413,117.665,149.16,30.172,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV5,44.5,89,96.417,6.44,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178.0,293,12.133,76.95,101.89,6.799,76.95,101.429,0.429,119.911,149.27,19.788,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV6,45.0,90,97.5,6.25,128.67,102.5,11.25,129.05,102.384,24.07,134.797,180.0,240,12.662,80.601,104.23,6.684,80.601,103.787,0.408,121.769,150.475,17.656,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV7,41.5,83,89.917,6.08,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,310,12.132,72.197,94.991,6.501,72.197,94.521,0.444,112.238,142.411,21.824,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV8,42.5,85,92.083,6.23,121.52,96.806,10.625,121.88,96.696,22.733,127.308,170.0,64,9.531,73.149,97.354,6.625,73.149,96.893,0.437,114.934,142.176,5.149,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV9,52.5,105,113.75,7.11,150.12,119.583,13.125,150.56,119.448,28.082,157.263,210.0,504,12.071,89.368,120.305,7.552,89.368,119.842,0.373,139.937,169.384,34.303,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV10,43.0,86,93.167,6.27,122.95,97.944,10.75,123.31,97.834,23.0,128.806,172.0,340,12.235,75.33,99.443,6.684,75.33,98.979,0.44,117.159,147.474,24.091,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV11,51.0,102,110.5,7.26,145.83,116.167,12.75,146.26,116.035,27.28,152.77,204.0,226,11.319,89.336,117.737,7.74,89.336,117.228,0.409,138.077,168.063,15.181,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV12,49.0,98,106.167,6.85,140.11,111.611,12.25,140.52,111.485,26.21,146.779,196.0,239,11.126,85.607,111.655,7.325,85.607,111.187,0.404,130.892,162.416,16.689,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV13,36.5,73,79.083,5.46,104.37,83.139,9.125,104.67,83.045,19.524,109.335,146.0,252,11.437,61.635,83.731,5.821,61.635,83.304,0.461,99.269,129.48,17.188,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV14,46.5,93,100.75,6.29,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186.0,588,12.862,81.09,107.088,6.671,81.09,106.667,0.4,124.582,155.463,42.259,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV15,43.0,86,93.167,6.22,122.95,97.944,10.75,123.31,97.834,23.0,128.806,172.0,372,13.672,74.722,100.948,6.55,74.722,100.516,0.413,118.19,152.019,28.757,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV16,33.5,67,72.583,5.25,95.79,76.306,8.375,96.07,76.219,17.919,100.349,134.0,62,9.129,58.383,77.101,5.504,58.383,76.684,0.468,91.821,120.588,4.77,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV17,50.0,100,108.333,6.96,142.97,113.889,12.5,143.39,113.76,26.745,149.775,200.0,412,13.039,89.631,116.475,7.258,89.631,116.017,0.395,135.531,164.575,30.148,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV18,38.5,77,83.417,5.86,110.09,87.694,9.625,110.41,87.595,20.593,115.326,154.0,151,12.57,67.139,89.077,6.373,67.139,88.59,0.482,106.208,132.544,11.761,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV19,40.0,80,86.667,5.76,114.37,91.111,10.0,114.71,91.008,21.396,119.82,160.0,151,12.384,69.234,91.034,6.156,69.234,90.61,0.426,107.285,139.15,11.576,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV20,35.0,70,75.833,5.63,100.08,79.722,8.75,100.37,79.632,18.721,104.842,140.0,456,10.586,61.183,81.374,5.844,61.183,80.916,0.499,97.174,122.789,26.874,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV21,45.5,91,98.583,6.38,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182.0,682,14.082,82.127,106.652,6.792,82.127,106.202,0.416,124.546,155.881,52.718,2.0,2.0,lognormal,1000000
Set 3.2 LA (mid SP)_EV22,38.5,77,83.417,5.91,110.09,87.694,9.625,110.41,87.595,20.593,115.326,154.0,230,12.722,64.741,87.852,6.278,64.741,87.398,0.454,104.61,130.628,17.654,2.0,2.0,lognormal,1000000
