Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 4.2 TF (mid SP)_EV1,40.5,81,87.75,5.73,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162.0,126,10.849,63.757,94.518,7.127,63.757,94.384,0.104,111.508,128.098,8.057,2.0,2.0,triangular,1000000
Set 4.2 TF (mid SP)_EV2,44.5,89,96.417,6.68,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178.0,126,11.532,70.286,104.378,8.147,70.286,104.217,0.112,123.89,145.278,8.64,2.0,2.0,triangular,1000000
Set 4.2 TF (mid SP)_EV3,41.5,83,89.917,5.96,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,191,10.665,64.231,98.26,7.285,64.231,98.152,0.089,115.536,132.696,11.651,2.0,2.0,triangular,1000000
Set 4.2 TF (mid SP)_EV4,43.0,86,93.167,6.16,122.95,97.944,10.75,123.31,97.834,23.0,128.806,172.0,209,11.809,71.77,102.06,7.439,71.77,101.937,0.1,119.77,139.419,13.428,2.0,2.0,triangular,1000000
Set 4.2 TF (mid SP)_EV5,49.0,98,106.167,7.04,140.11,111.611,12.25,140.52,111.485,26.21,146.779,196.0,167,11.144,77.045,114.461,8.735,77.045,114.317,0.095,135.238,157.483,10.394,2.0,2.0,triangular,1000000
Set 4.2 TF (mid SP)_EV6,47.0,94,101.833,6.49,134.39,107.056,11.75,134.78,106.935,25.14,140.788,188.0,176,11.233,76.146,110.529,8.007,76.146,110.406,0.086,129.55,149.156,10.878,2.0,2.0,triangular,1000000
Set 4.2 TF (mid SP)_EV7,34.5,69,74.75,5.31,98.65,78.583,8.625,98.94,78.495,18.454,103.344,138.0,183,10.825,53.958,81.267,6.486,53.958,81.13,0.116,96.75,113.016,10.926,2.0,2.0,triangular,1000000
Set 4.2 TF (mid SP)_EV8,48.0,96,104.0,6.83,137.25,109.333,12.0,137.65,109.21,25.675,143.784,192.0,249,10.534,77.577,113.079,8.365,77.577,112.936,0.096,132.969,157.193,14.202,2.0,2.0,triangular,1000000
Set 4.2 TF (mid SP)_EV9,34.5,69,74.75,5.32,98.65,78.583,8.625,98.94,78.495,18.454,103.344,138.0,180,11.383,56.58,82.016,6.371,56.58,81.875,0.123,97.232,112.665,11.307,2.0,2.0,triangular,1000000
Set 4.2 TF (mid SP)_EV10,45.5,91,98.583,6.7,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182.0,126,11.643,70.569,106.595,8.237,70.569,106.447,0.103,126.255,145.928,8.283,2.0,2.0,triangular,1000000
Set 4.2 TF (mid SP)_EV11,41.5,83,89.917,5.97,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,210,11.152,64.507,96.881,7.431,64.507,96.761,0.097,114.572,132.787,12.766,2.0,2.0,triangular,1000000
Set 4.2 TF (mid SP)_EV12,39.5,79,85.583,5.97,112.94,89.972,9.875,113.28,89.871,21.128,118.322,158.0,259,10.521,61.191,92.261,7.384,61.191,92.109,0.116,109.901,131.421,14.72,2.0,2.0,triangular,1000000
Set 4.2 TF (mid SP)_EV13,42.0,84,91.0,6.22,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168.0,151,12.066,70.175,100.425,7.385,70.175,100.303,0.096,118.011,134.492,10.092,2.0,2.0,triangular,1000000
