Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 4.3 TF (high SP)_EV1,73.0,146,158.167,8.06,208.73,166.278,18.25,209.35,166.09,39.047,218.671,292.0,24,17.333,128.96,170.328,10.045,128.96,170.2,0.074,194.151,223.511,3.139,2.0,2.0,triangular,1000000
Set 4.3 TF (high SP)_EV2,63.5,127,137.583,7.24,181.57,144.639,15.875,182.1,144.475,33.966,190.214,254.0,30,17.0,107.069,148.207,9.028,107.069,148.078,0.084,169.673,193.531,3.472,2.0,2.0,triangular,1000000
Set 4.3 TF (high SP)_EV3,72.0,144,156.0,7.87,205.87,164.0,18.0,206.48,163.815,38.512,215.675,288.0,22,19.955,124.203,168.008,9.811,124.203,167.889,0.074,191.25,213.634,3.181,2.0,2.0,triangular,1000000
Set 4.3 TF (high SP)_EV4,78.0,156,169.0,8.46,223.03,177.667,19.5,223.69,177.466,41.722,233.648,312.0,15,18.8,137.342,182.012,10.552,137.342,181.898,0.069,207.015,236.977,2.446,2.0,2.0,triangular,1000000
Set 4.3 TF (high SP)_EV5,56.5,113,122.417,6.56,161.55,128.694,14.125,162.03,128.549,30.221,169.245,226.0,27,16.667,94.796,131.837,8.181,94.796,131.716,0.084,151.238,175.434,3.208,2.0,2.0,triangular,1000000
Set 4.3 TF (high SP)_EV6,71.0,142,153.833,7.97,203.01,161.722,17.75,203.61,161.539,37.977,212.68,284.0,16,19.0,123.204,165.721,9.924,123.204,165.581,0.077,189.29,213.308,2.573,2.0,2.0,triangular,1000000
Set 4.3 TF (high SP)_EV7,68.5,137,148.417,8.18,195.87,156.028,17.125,196.44,155.851,36.64,205.191,274.0,18,18.0,116.509,160.863,10.147,116.509,160.722,0.079,184.883,209.406,2.651,2.0,2.0,triangular,1000000
Set 4.3 TF (high SP)_EV8,52.0,104,112.667,6.31,148.69,118.444,13.0,149.12,118.311,27.814,155.766,208.0,20,20.2,87.703,121.403,7.843,87.703,121.268,0.091,140.067,159.508,2.979,2.0,2.0,triangular,1000000
Set 4.3 TF (high SP)_EV9,65.0,130,140.833,7.79,185.86,148.056,16.25,186.4,147.888,34.768,194.707,260.0,28,16.929,111.429,151.68,9.732,111.429,151.537,0.086,174.767,203.514,3.325,2.0,2.0,triangular,1000000
Set 4.3 TF (high SP)_EV10,71.0,142,153.833,8.2,203.01,161.722,17.75,203.61,161.539,37.977,212.68,284.0,20,19.0,122.37,165.957,10.143,122.37,165.818,0.082,190.042,215.33,2.835,2.0,2.0,triangular,1000000
Set 4.3 TF (high SP)_EV11,67.5,135,146.25,7.83,193.01,153.75,16.875,193.57,153.576,36.105,202.196,270.0,20,18.25,114.524,157.471,9.775,114.524,157.33,0.085,180.709,205.121,2.818,2.0,2.0,triangular,1000000
Set 4.3 TF (high SP)_EV12,69.5,139,150.583,7.67,198.73,158.306,17.375,199.31,158.127,37.175,208.187,278.0,30,16.767,120.374,162.16,9.553,120.374,162.048,0.072,184.778,211.688,3.423,2.0,2.0,triangular,1000000
