Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations,Distribution,Is_Beta,Is_Lognormal,Is_Triangular
Set 2.1 AD (low SP)_EV1,20.0,40,43.333,4.73,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,146,6.226,31.583,46.187,3.949,31.583,46.034,0.205,55.829,64.831,5.922,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.1 AD (low SP)_EV2,20.0,40,43.333,4.5,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,277,6.574,32.175,46.956,3.86,32.175,46.851,0.156,56.282,65.624,10.17,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.1 AD (low SP)_EV3,12.5,25,27.083,2.99,35.74,28.472,3.125,35.85,28.44,6.686,37.444,50.0,38,5.0,18.928,29.104,2.507,18.928,29.037,0.141,35.13,40.612,2.281,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.1 AD (low SP)_EV4,19.5,39,42.25,4.42,55.76,44.417,4.875,55.92,44.366,10.43,58.412,78.0,112,6.036,27.878,43.32,4.059,27.878,43.194,0.175,53.158,62.898,4.762,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.1 AD (low SP)_EV5,24.5,49,53.083,5.18,70.05,55.806,6.125,70.26,55.742,13.105,73.39,98.0,98,6.184,32.505,53.099,5.161,32.505,52.982,0.133,65.474,78.045,4.572,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.1 AD (low SP)_EV6,15.5,31,33.583,3.8,44.32,35.306,3.875,44.45,35.266,8.291,46.43,62.0,67,5.791,23.0,35.237,3.321,23.0,35.125,0.186,43.311,51.261,3.272,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.1 AD (low SP)_EV7,25.5,51,55.25,5.27,72.91,58.083,6.375,73.13,58.018,13.64,76.385,102.0,102,5.931,35.937,55.783,5.005,35.937,55.636,0.17,67.915,81.119,4.445,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.1 AD (low SP)_EV8,22.5,45,48.75,5.11,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,306,6.657,33.854,50.436,4.612,33.854,50.299,0.171,61.648,73.75,11.565,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.1 AD (low SP)_EV9,23.0,46,49.833,4.85,65.77,52.389,5.75,65.96,52.33,12.303,68.896,92.0,101,5.931,31.355,51.006,4.718,31.355,50.9,0.128,62.314,73.339,4.412,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.1 AD (low SP)_EV10,25.0,50,54.167,5.26,71.48,56.944,6.25,71.69,56.88,13.372,74.887,100.0,125,6.2,36.284,55.153,4.768,36.284,54.979,0.201,66.854,81.456,5.333,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.1 AD (low SP)_EV11,20.5,41,44.417,4.34,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,194,6.443,31.442,46.678,3.993,31.442,46.568,0.158,56.305,65.797,7.688,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.1 AD (low SP)_EV12,21.0,42,45.5,4.81,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,392,6.194,33.245,49.028,3.705,33.245,48.9,0.199,58.171,68.043,13.728,2.0,2.0,beta,1000000,Beta,1,0,0
