Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations,Distribution,Is_Beta,Is_Lognormal,Is_Triangular
Set 2.2 AD (mid SP)_EV1,46.0,92,99.667,6.45,131.53,104.778,11.5,131.92,104.659,24.605,137.793,184.0,1936,13.227,76.256,102.398,6.191,76.256,102.301,0.092,117.11,131.808,123.027,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.2 AD (mid SP)_EV2,40.0,80,86.667,5.71,114.37,91.111,10.0,114.71,91.008,21.396,119.82,160.0,57,8.018,62.004,86.67,5.713,62.004,86.581,0.094,100.3,113.61,3.717,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.2 AD (mid SP)_EV3,39.0,78,84.5,5.82,111.52,88.833,9.75,111.84,88.733,20.861,116.824,156.0,442,12.165,60.231,85.43,5.738,60.231,85.337,0.096,99.097,112.142,27.814,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.2 AD (mid SP)_EV4,43.5,87,94.25,6.31,124.38,99.083,10.875,124.75,98.971,23.268,130.304,174.0,302,11.517,67.881,94.299,6.286,67.881,94.193,0.096,109.274,125.545,18.632,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.2 AD (mid SP)_EV5,46.5,93,100.75,6.83,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186.0,2070,14.932,76.538,104.364,6.407,76.538,104.267,0.087,119.618,136.679,191.814,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.2 AD (mid SP)_EV6,41.5,83,89.917,6.23,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,702,13.923,65.482,91.36,5.909,65.482,91.254,0.106,105.505,122.565,52.933,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.2 AD (mid SP)_EV7,44.0,88,95.333,6.21,125.81,100.222,11.0,126.18,100.109,23.535,131.802,176.0,173,11.168,66.635,95.975,6.034,66.635,95.871,0.1,110.345,126.694,12.064,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.2 AD (mid SP)_EV8,47.5,95,102.917,6.68,135.82,108.194,11.875,136.22,108.072,25.407,142.286,190.0,2196,13.96,77.864,105.429,6.398,77.864,105.326,0.085,120.62,136.365,165.245,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.2 AD (mid SP)_EV9,39.0,78,84.5,5.88,111.52,88.833,9.75,111.84,88.733,20.861,116.824,156.0,110,10.064,61.02,84.806,5.733,61.02,84.685,0.117,98.502,113.884,7.691,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.2 AD (mid SP)_EV10,48.5,97,105.083,6.63,138.68,110.472,12.125,139.09,110.347,25.942,145.281,194.0,89,8.764,76.335,105.07,6.629,76.335,104.979,0.083,120.842,138.392,6.008,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.2 AD (mid SP)_EV11,44.0,88,95.333,6.44,125.81,100.222,11.0,126.18,100.109,23.535,131.802,176.0,600,13.895,70.87,96.05,6.236,70.87,95.936,0.107,110.979,128.957,46.326,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.2 AD (mid SP)_EV12,50.0,100,108.333,7.12,142.97,113.889,12.5,143.39,113.76,26.745,149.775,200.0,816,15.113,81.627,110.834,6.756,81.627,110.735,0.091,126.927,143.746,66.189,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.2 AD (mid SP)_EV13,42.0,84,91.0,6.17,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168.0,361,11.637,65.297,91.151,6.135,65.297,91.056,0.093,105.748,122.635,26.12,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.2 AD (mid SP)_EV14,41.0,82,88.833,6.2,117.23,93.389,10.25,117.58,93.283,21.931,122.815,164.0,360,11.272,66.631,89.85,5.891,66.631,89.738,0.114,103.982,122.673,21.926,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.2 AD (mid SP)_EV15,46.0,92,99.667,6.51,131.53,104.778,11.5,131.92,104.659,24.605,137.793,184.0,1260,14.87,76.927,101.851,6.021,76.927,101.728,0.117,116.329,131.554,96.673,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.2 AD (mid SP)_EV16,38.5,77,83.417,5.89,110.09,87.694,9.625,110.41,87.595,20.593,115.326,154.0,912,13.239,61.276,84.944,5.643,61.276,84.842,0.103,98.432,113.711,60.682,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.2 AD (mid SP)_EV17,44.0,88,95.333,6.45,125.81,100.222,11.0,126.18,100.109,23.535,131.802,176.0,350,12.157,70.741,96.444,6.297,70.741,96.344,0.094,111.436,127.133,22.111,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.2 AD (mid SP)_EV18,35.5,71,76.917,5.64,101.51,80.861,8.875,101.81,80.77,18.989,106.34,142.0,140,10.029,54.78,77.215,5.595,54.78,77.116,0.103,90.549,103.611,8.29,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.2 AD (mid SP)_EV19,46.5,93,100.75,6.98,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186.0,522,13.994,75.462,103.316,6.517,75.462,103.202,0.107,118.894,137.824,36.536,2.0,2.0,beta,1000000,Beta,1,0,0
Set 2.2 AD (mid SP)_EV20,45.0,90,97.5,6.64,128.67,102.5,11.25,129.05,102.384,24.07,134.797,180.0,1848,14.773,70.39,98.303,6.383,70.39,98.173,0.117,113.594,130.164,132.64,2.0,2.0,beta,1000000,Beta,1,0,0
