Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations,Distribution,Is_Beta,Is_Lognormal,Is_Triangular
Set 3.1 LA (low SP)_EV1,22.0,44,47.667,4.68,62.91,50.111,5.5,63.09,50.054,11.768,65.901,88.0,200,6.09,31.124,47.82,4.54,31.124,47.658,0.205,58.833,70.017,9.187,2.0,2.0,beta,1000000,Beta,1,0,0
Set 3.1 LA (low SP)_EV2,18.0,36,39.0,4.23,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,251,6.418,27.107,40.639,3.811,27.107,40.476,0.232,50.019,60.585,10.291,2.0,2.0,beta,1000000,Beta,1,0,0
Set 3.1 LA (low SP)_EV3,22.5,45,48.75,4.99,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,105,6.229,32.104,49.597,4.525,32.104,49.406,0.238,60.759,72.96,5.184,2.0,2.0,beta,1000000,Beta,1,0,0
Set 3.1 LA (low SP)_EV4,19.5,39,42.25,4.49,55.76,44.417,4.875,55.92,44.366,10.43,58.412,78.0,179,6.492,29.817,45.052,3.657,29.817,44.938,0.173,53.96,64.621,7.983,2.0,2.0,beta,1000000,Beta,1,0,0
Set 3.1 LA (low SP)_EV5,21.0,42,45.5,4.34,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,248,6.536,32.651,47.874,3.767,32.651,47.763,0.169,57.042,67.995,10.467,2.0,2.0,beta,1000000,Beta,1,0,0
Set 3.1 LA (low SP)_EV6,20.0,40,43.333,4.33,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,214,6.729,29.552,45.642,3.849,29.552,45.53,0.154,54.927,64.657,9.444,2.0,2.0,beta,1000000,Beta,1,0,0
Set 3.1 LA (low SP)_EV7,20.5,41,44.417,4.48,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,170,6.582,30.846,45.754,4.047,30.846,45.596,0.211,55.654,65.167,7.687,2.0,2.0,beta,1000000,Beta,1,0,0
Set 3.1 LA (low SP)_EV8,22.5,45,48.75,5.06,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,103,6.233,32.77,50.058,4.612,32.77,49.895,0.197,61.311,73.866,4.846,2.0,2.0,beta,1000000,Beta,1,0,0
Set 3.1 LA (low SP)_EV9,20.5,41,44.417,4.6,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,195,5.923,30.901,46.215,4.1,30.901,46.073,0.193,56.195,67.761,8.087,2.0,2.0,beta,1000000,Beta,1,0,0
Set 3.1 LA (low SP)_EV10,22.0,44,47.667,4.89,62.91,50.111,5.5,63.09,50.054,11.768,65.901,88.0,191,6.162,33.279,50.207,4.242,33.279,50.085,0.159,60.457,70.439,7.843,2.0,2.0,beta,1000000,Beta,1,0,0
