Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations,Distribution,Is_Beta,Is_Lognormal,Is_Triangular
Set 3.2 LA (mid SP)_EV1,48.0,96,104.0,6.67,137.25,109.333,12.0,137.65,109.21,25.675,143.784,192.0,536,11.651,79.802,106.182,6.39,79.802,106.087,0.084,121.391,137.048,34.208,2.0,2.0,beta,1000000,Beta,1,0,0
Set 3.2 LA (mid SP)_EV2,53.5,107,115.917,7.22,152.98,121.861,13.375,153.43,121.723,28.617,160.259,214.0,230,12.626,86.226,116.842,7.076,86.226,116.747,0.087,133.671,150.847,16.973,2.0,2.0,beta,1000000,Beta,1,0,0
Set 3.2 LA (mid SP)_EV3,31.5,63,68.25,5.11,90.07,71.75,7.875,90.33,71.669,16.849,94.358,126.0,408,13.176,51.686,71.627,4.723,51.686,71.545,0.1,82.884,96.498,29.422,2.0,2.0,beta,1000000,Beta,1,0,0
Set 3.2 LA (mid SP)_EV4,44.0,88,95.333,6.15,125.81,100.222,11.0,126.18,100.109,23.535,131.802,176.0,444,12.36,68.83,95.477,6.074,68.83,95.379,0.102,109.966,124.135,30.101,2.0,2.0,beta,1000000,Beta,1,0,0
Set 3.2 LA (mid SP)_EV5,44.5,89,96.417,6.44,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178.0,293,12.133,70.576,97.069,6.237,70.576,96.968,0.1,111.957,127.27,19.724,2.0,2.0,beta,1000000,Beta,1,0,0
Set 3.2 LA (mid SP)_EV6,45.0,90,97.5,6.25,128.67,102.5,11.25,129.05,102.384,24.07,134.797,180.0,240,12.662,71.965,99.336,6.084,71.965,99.249,0.083,113.779,131.36,17.283,2.0,2.0,beta,1000000,Beta,1,0,0
Set 3.2 LA (mid SP)_EV7,41.5,83,89.917,6.08,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,310,12.132,64.329,90.329,5.954,64.329,90.218,0.105,104.557,119.57,21.698,2.0,2.0,beta,1000000,Beta,1,0,0
Set 3.2 LA (mid SP)_EV8,42.5,85,92.083,6.23,121.52,96.806,10.625,121.88,96.696,22.733,127.308,170.0,64,9.531,67.799,92.763,6.102,67.799,92.664,0.095,107.291,123.12,4.685,2.0,2.0,beta,1000000,Beta,1,0,0
Set 3.2 LA (mid SP)_EV9,52.5,105,113.75,7.11,150.12,119.583,13.125,150.56,119.448,28.082,157.263,210.0,504,12.071,84.612,114.554,7.004,84.612,114.451,0.084,131.185,148.137,33.405,2.0,2.0,beta,1000000,Beta,1,0,0
Set 3.2 LA (mid SP)_EV10,43.0,86,93.167,6.27,122.95,97.944,10.75,123.31,97.834,23.0,128.806,172.0,340,12.235,70.841,94.796,6.034,70.841,94.701,0.091,109.159,124.008,23.533,2.0,2.0,beta,1000000,Beta,1,0,0
