Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations,Distribution,Is_Beta,Is_Lognormal,Is_Triangular
Set 4.1 TF (low SP)_EV1,21.0,42,45.5,4.51,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,157,6.134,32.671,47.636,4.069,32.671,47.522,0.158,57.478,69.242,5.913,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV2,16.0,32,34.667,3.37,45.75,36.444,4.0,45.88,36.403,8.558,47.928,64.0,180,6.25,25.7,36.669,2.885,25.7,36.565,0.205,43.766,50.984,7.417,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV3,18.0,36,39.0,4.54,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,263,6.228,29.797,43.019,3.261,29.797,42.909,0.199,51.058,62.066,9.738,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV4,19.0,38,41.167,4.43,54.33,43.278,4.75,54.49,43.229,10.163,56.914,76.0,75,5.973,27.656,41.767,3.983,27.656,41.554,0.287,51.747,61.019,3.678,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV5,18.0,36,39.0,4.14,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,140,6.043,27.243,40.103,3.583,27.243,39.959,0.241,48.996,58.772,5.71,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV6,15.0,30,32.5,3.66,42.89,34.167,3.75,43.02,34.128,8.023,44.932,60.0,238,6.172,23.697,34.798,2.95,23.697,34.646,0.279,42.197,49.607,9.053,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV7,24.0,48,52.0,4.96,68.62,54.667,6.0,68.83,54.605,12.837,71.892,96.0,100,6.29,36.717,53.341,4.339,36.717,53.176,0.22,64.071,76.117,4.606,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV8,20.5,41,44.417,4.38,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,104,6.317,31.061,46.684,3.736,31.061,46.544,0.208,55.878,65.298,4.618,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV9,16.0,32,34.667,4.0,45.75,36.444,4.0,45.88,36.403,8.558,47.928,64.0,177,5.893,25.614,37.32,3.22,25.614,37.174,0.263,45.431,54.939,6.63,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV10,17.0,34,36.833,4.02,48.61,38.722,4.25,48.75,38.678,9.093,50.923,68.0,173,5.988,23.59,37.828,3.772,23.59,37.68,0.214,47.025,57.765,6.762,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV11,17.5,35,37.917,4.41,50.04,39.861,4.375,50.19,39.816,9.361,52.421,70.0,95,6.337,28.704,41.134,3.219,28.704,40.997,0.25,49.181,58.683,4.396,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV12,19.0,38,41.167,4.34,54.33,43.278,4.75,54.49,43.229,10.163,56.914,76.0,169,5.959,27.509,42.5,3.965,27.509,42.363,0.191,52.146,61.312,6.783,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV13,16.5,33,35.75,3.99,47.18,37.583,4.125,47.32,37.541,8.826,49.426,66.0,262,6.145,26.263,37.817,3.139,26.263,37.692,0.24,45.655,53.693,9.72,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV14,20.0,40,43.333,4.3,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,102,6.461,28.651,43.826,4.028,28.651,43.676,0.204,53.678,63.982,4.782,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV15,21.0,42,45.5,4.57,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,313,6.316,33.329,49.329,3.864,33.329,49.203,0.185,58.799,68.457,11.017,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV16,21.0,42,45.5,4.61,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,129,5.899,29.477,45.947,4.323,29.477,45.772,0.225,56.584,67.96,6.125,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV17,19.5,39,42.25,4.49,55.76,44.417,4.875,55.92,44.366,10.43,58.412,78.0,231,6.195,30.56,44.676,3.803,30.56,44.541,0.199,53.984,65.161,9.134,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV18,16.5,33,35.75,4.01,47.18,37.583,4.125,47.32,37.541,8.826,49.426,66.0,100,6.47,26.794,38.397,3.047,26.794,38.266,0.25,46.03,54.679,4.717,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV19,15.0,30,32.5,3.43,42.89,34.167,3.75,43.02,34.128,8.023,44.932,60.0,148,5.973,23.111,33.409,2.886,23.111,33.232,0.328,40.778,48.043,5.863,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV20,16.0,32,34.667,3.72,45.75,36.444,4.0,45.88,36.403,8.558,47.928,64.0,92,6.467,24.937,36.069,3.064,24.937,35.904,0.296,43.818,54.34,4.485,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV21,21.0,42,45.5,4.73,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,193,6.166,30.652,47.455,4.245,30.652,47.336,0.165,57.731,68.259,7.393,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV22,16.0,32,34.667,3.61,45.75,36.444,4.0,45.88,36.403,8.558,47.928,64.0,337,6.407,25.873,38.318,2.859,25.873,38.221,0.192,45.329,52.457,14.329,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV23,17.0,34,36.833,3.74,48.61,38.722,4.25,48.75,38.678,9.093,50.923,68.0,200,6.26,25.494,37.824,3.245,25.494,37.656,0.274,45.942,54.437,9.79,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV24,16.0,32,34.667,3.86,45.75,36.444,4.0,45.88,36.403,8.558,47.928,64.0,174,6.098,26.281,38.655,2.964,26.281,38.546,0.208,45.946,53.669,7.332,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV25,24.5,49,53.083,5.11,70.05,55.806,6.125,70.26,55.742,13.105,73.39,98.0,161,6.273,35.7,53.919,4.715,35.7,53.778,0.178,65.409,78.055,6.912,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV26,19.0,38,41.167,4.29,54.33,43.278,4.75,54.49,43.229,10.163,56.914,76.0,180,6.028,28.965,44.09,3.625,28.965,43.988,0.156,52.841,61.415,7.095,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV27,16.5,33,35.75,4.07,47.18,37.583,4.125,47.32,37.541,8.826,49.426,66.0,218,6.45,25.299,38.96,3.263,25.299,38.847,0.194,46.954,55.012,8.664,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV28,20.5,41,44.417,4.52,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,186,6.0,31.953,46.721,3.696,31.953,46.578,0.217,55.883,66.54,7.395,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.1 TF (low SP)_EV29,22.0,44,47.667,4.6,62.91,50.111,5.5,63.09,50.054,11.768,65.901,88.0,155,6.284,32.168,49.055,4.223,32.168,48.952,0.137,59.206,69.865,6.608,2.0,2.0,beta,1000000,Beta,1,0,0
