Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations,Distribution,Is_Beta,Is_Lognormal,Is_Triangular
Set 4.2 TF (mid SP)_EV1,40.5,81,87.75,5.73,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162.0,126,10.849,63.573,87.75,5.725,63.573,87.662,0.087,101.324,114.941,8.042,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.2 TF (mid SP)_EV2,44.5,89,96.417,6.68,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178.0,126,11.532,68.291,96.762,6.552,68.291,96.648,0.1,112.415,130.068,8.276,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.2 TF (mid SP)_EV3,41.5,83,89.917,5.96,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,191,10.665,65.695,90.897,5.835,65.695,90.813,0.085,104.776,117.883,11.271,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.2 TF (mid SP)_EV4,43.0,86,93.167,6.16,122.95,97.944,10.75,123.31,97.834,23.0,128.806,172.0,209,11.809,69.203,94.262,6.0,69.203,94.163,0.098,108.541,122.042,13.534,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.2 TF (mid SP)_EV5,49.0,98,106.167,7.04,140.11,111.611,12.25,140.52,111.485,26.21,146.779,196.0,167,11.144,75.013,106.212,7.011,75.013,106.103,0.088,122.862,141.959,10.73,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.2 TF (mid SP)_EV6,47.0,94,101.833,6.49,134.39,107.056,11.75,134.78,106.935,25.14,140.788,188.0,176,11.233,72.592,102.405,6.421,72.592,102.317,0.079,117.637,133.892,11.234,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.2 TF (mid SP)_EV7,34.5,69,74.75,5.31,98.65,78.583,8.625,98.94,78.495,18.454,103.344,138.0,183,10.825,53.924,75.259,5.221,53.924,75.166,0.103,87.704,99.518,11.401,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.2 TF (mid SP)_EV8,48.0,96,104.0,6.83,137.25,109.333,12.0,137.65,109.21,25.675,143.784,192.0,249,10.534,76.334,104.709,6.716,76.334,104.602,0.089,120.672,138.407,14.759,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.2 TF (mid SP)_EV9,34.5,69,74.75,5.32,98.65,78.583,8.625,98.94,78.495,18.454,103.344,138.0,180,11.383,53.406,75.852,5.131,53.406,75.75,0.112,88.111,102.358,11.687,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.2 TF (mid SP)_EV10,45.5,91,98.583,6.7,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182.0,126,11.643,69.164,98.839,6.62,69.164,98.733,0.093,114.582,129.385,8.631,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.2 TF (mid SP)_EV11,41.5,83,89.917,5.97,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,210,11.152,64.398,89.934,5.961,64.398,89.848,0.088,104.105,121.152,13.121,2.0,2.0,beta,1000000,Beta,1,0,0
Set 4.2 TF (mid SP)_EV12,39.5,79,85.583,5.97,112.94,89.972,9.875,113.28,89.871,21.128,118.322,158.0,259,10.521,60.105,85.609,5.95,60.105,85.502,0.105,99.813,113.572,15.107,2.0,2.0,beta,1000000,Beta,1,0,0
