Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 1 SP_EV1,13.0,26,28.167,3.84,37.17,29.611,3.25,37.28,29.578,6.954,38.941,52.0,24,3.833,16.136,28.291,3.738,16.136,28.135,0.228,37.404,45.91,1.656,2.0,2.0,beta,1000000
Set 1 SP_EV2,12.0,24,26.0,3.59,34.31,27.333,3.0,34.41,27.302,6.419,35.946,48.0,38,4.211,16.837,27.404,2.99,16.837,27.223,0.31,34.911,41.756,2.03,2.0,2.0,beta,1000000
Set 1 SP_EV3,11.5,23,24.917,3.4,32.88,26.194,2.875,32.98,26.165,6.151,34.448,46.0,50,4.22,16.78,26.257,2.614,16.78,26.067,0.405,33.107,40.091,2.282,2.0,2.0,beta,1000000
Set 1 SP_EV4,12.5,25,27.083,3.63,35.74,28.472,3.125,35.85,28.44,6.686,37.444,50.0,59,4.186,17.532,27.647,3.106,17.532,27.337,0.478,35.795,43.394,2.515,2.0,2.0,beta,1000000
Set 1 SP_EV5,14.0,28,30.333,4.06,40.03,31.889,3.5,40.15,31.853,7.488,41.937,56.0,47,4.213,20.989,32.125,3.492,20.989,31.85,0.387,41.046,51.034,2.275,2.0,2.0,beta,1000000
Set 1 SP_EV6,10.0,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40.0,47,4.021,14.888,23.893,2.599,14.888,23.745,0.32,30.485,36.841,2.141,2.0,2.0,beta,1000000
Set 1 SP_EV7,10.5,21,22.75,3.05,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42.0,33,3.879,14.629,23.993,2.583,14.629,23.89,0.226,30.361,36.029,1.907,2.0,2.0,beta,1000000
Set 1 SP_EV8,11.5,23,24.917,3.36,32.88,26.194,2.875,32.98,26.165,6.151,34.448,46.0,39,3.949,16.452,26.064,2.718,16.452,25.915,0.315,33.021,40.443,2.024,2.0,2.0,beta,1000000
Set 1 SP_EV9,13.0,26,28.167,3.79,37.17,29.611,3.25,37.28,29.578,6.954,38.941,52.0,58,4.362,19.968,29.721,2.887,19.968,29.502,0.421,37.307,46.313,2.537,2.0,2.0,beta,1000000
Set 1 SP_EV10,10.0,20,21.667,2.89,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40.0,25,3.28,13.253,22.135,2.573,13.253,21.994,0.297,28.63,35.019,1.626,2.0,2.0,beta,1000000
Set 1 SP_EV11,13.5,27,29.25,3.9,38.6,30.75,3.375,38.71,30.715,7.221,40.439,54.0,47,4.17,16.575,29.619,3.748,16.575,29.492,0.185,38.686,47.546,2.356,2.0,2.0,beta,1000000
Set 1 SP_EV12,10.5,21,22.75,3.17,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42.0,43,4.0,14.336,23.2,2.781,14.336,22.961,0.413,30.365,37.583,2.143,2.0,2.0,beta,1000000
Set 1 SP_EV13,11.0,22,23.833,3.22,31.45,25.056,2.75,31.55,25.027,5.884,32.95,44.0,33,3.97,16.283,25.491,2.532,16.283,25.367,0.284,31.893,38.5,1.923,2.0,2.0,beta,1000000
Set 1 SP_EV14,8.0,16,17.333,2.35,22.87,18.222,2.0,22.94,18.202,4.279,23.964,32.0,28,3.571,11.003,17.733,2.056,11.003,17.593,0.358,22.96,28.047,1.742,2.0,2.0,beta,1000000
Set 1 SP_EV15,11.5,23,24.917,3.61,32.88,26.194,2.875,32.98,26.165,6.151,34.448,46.0,31,3.903,14.3,25.73,3.179,14.3,25.576,0.268,33.63,40.567,1.912,2.0,2.0,beta,1000000
Set 1 SP_EV16,12.0,24,26.0,3.52,34.31,27.333,3.0,34.41,27.302,6.419,35.946,48.0,36,4.139,17.397,27.852,3.029,17.397,27.702,0.264,35.345,41.649,2.05,2.0,2.0,beta,1000000
Set 1 SP_EV17,9.0,18,19.5,3.2,25.73,20.5,2.25,25.81,20.477,4.814,26.959,36.0,61,4.082,13.963,22.587,2.413,13.963,22.507,0.186,28.448,33.913,2.582,2.0,2.0,beta,1000000
Set 1 SP_EV18,10.5,21,22.75,3.21,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42.0,34,3.794,14.58,23.952,2.68,14.58,23.822,0.263,30.62,36.981,1.953,2.0,2.0,beta,1000000
Set 1 SP_EV19,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,28.457,38.0,35,3.829,13.33,22.415,2.552,13.33,22.238,0.361,28.934,34.782,1.974,2.0,2.0,beta,1000000
Set 1 SP_EV20,13.0,26,28.167,3.84,37.17,29.611,3.25,37.28,29.578,6.954,38.941,52.0,97,4.66,19.222,30.151,3.084,19.222,29.992,0.278,37.854,45.373,3.645,2.0,2.0,beta,1000000
Set 1 SP_EV21,12.0,24,26.0,3.59,34.31,27.333,3.0,34.41,27.302,6.419,35.946,48.0,33,4.152,17.526,27.167,2.853,17.526,26.953,0.409,34.63,41.767,1.956,2.0,2.0,beta,1000000
Set 1 SP_EV22,8.0,16,17.333,2.83,22.87,18.222,2.0,22.94,18.202,4.279,23.964,32.0,26,3.885,13.473,20.384,1.894,13.473,20.259,0.357,25.266,30.102,1.781,2.0,2.0,beta,1000000
Set 1 SP_EV23,10.0,20,21.667,3.24,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40.0,27,3.259,13.65,23.646,2.877,13.65,23.543,0.2,30.656,36.813,1.679,2.0,2.0,beta,1000000
Set 1 SP_EV24,9.0,18,19.5,2.87,25.73,20.5,2.25,25.81,20.477,4.814,26.959,36.0,29,3.759,12.823,20.904,2.165,12.823,20.773,0.348,26.503,31.974,1.861,2.0,2.0,beta,1000000
Set 1 SP_EV25,10.0,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40.0,26,3.538,13.915,23.44,2.734,13.915,23.247,0.361,30.445,37.028,1.743,2.0,2.0,beta,1000000
Set 1 SP_EV26,12.5,25,27.083,3.65,35.74,28.472,3.125,35.85,28.44,6.686,37.444,50.0,67,4.552,17.209,27.916,3.016,17.209,27.666,0.438,35.842,43.939,2.903,2.0,2.0,beta,1000000
Set 1 SP_EV27,8.5,17,18.417,3.01,24.3,19.361,2.125,24.38,19.339,4.547,25.462,34.0,33,4.03,13.245,20.577,2.03,13.245,20.431,0.404,25.895,31.082,1.953,2.0,2.0,beta,1000000
Set 1 SP_EV28,13.0,26,28.167,3.76,37.17,29.611,3.25,37.28,29.578,6.954,38.941,52.0,35,4.0,16.421,28.264,3.638,16.421,28.095,0.261,37.206,45.058,2.028,2.0,2.0,beta,1000000
Set 1 SP_EV29,10.5,21,22.75,3.05,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42.0,34,4.088,14.148,23.367,2.598,14.148,23.184,0.373,30.061,36.945,2.053,2.0,2.0,beta,1000000
Set 1 SP_EV30,10.0,20,21.667,3.06,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40.0,27,3.63,12.911,22.045,2.783,12.911,21.866,0.316,29.004,35.567,1.818,2.0,2.0,beta,1000000
Set 1 SP_EV31,11.5,23,24.917,3.34,32.88,26.194,2.875,32.98,26.165,6.151,34.448,46.0,45,4.156,15.676,25.54,3.051,15.676,25.341,0.323,33.134,39.811,2.264,2.0,2.0,beta,1000000
Set 1 SP_EV32,13.0,26,28.167,3.79,37.17,29.611,3.25,37.28,29.578,6.954,38.941,52.0,41,3.976,16.406,28.187,3.739,16.406,28.047,0.221,37.25,45.052,2.118,2.0,2.0,beta,1000000
Set 1 SP_EV33,11.0,22,23.833,3.57,31.45,25.056,2.75,31.55,25.027,5.884,32.95,44.0,42,4.0,14.998,24.898,2.934,14.998,24.694,0.372,32.453,39.426,2.186,2.0,2.0,beta,1000000
