Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 3.3 LA (high SP)_EV1,72.0,144,156.0,8.23,205.87,164.0,18.0,206.48,163.815,38.512,215.675,288.0,18,21.667,118.726,155.991,8.227,118.726,155.899,0.069,175.461,194.679,2.964,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV2,52.5,105,113.75,6.45,150.12,119.583,13.125,150.56,119.448,28.082,157.263,210.0,30,22.867,83.419,114.256,6.411,83.419,114.165,0.082,129.464,145.558,4.312,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV3,72.0,144,156.0,8.19,205.87,164.0,18.0,206.48,163.815,38.512,215.675,288.0,48,22.0,121.01,156.399,8.108,121.01,156.293,0.071,175.593,196.195,6.025,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV4,66.5,133,144.083,7.48,190.15,151.472,16.625,190.71,151.301,35.57,199.2,266.0,18,18.889,111.029,144.133,7.465,111.029,144.046,0.068,161.809,181.368,2.856,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV5,66.5,133,144.083,7.89,190.15,151.472,16.625,190.71,151.301,35.57,199.2,266.0,18,20.667,107.629,144.091,7.885,107.629,143.995,0.076,162.798,181.42,3.092,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV6,52.0,104,112.667,6.46,148.69,118.444,13.0,149.12,118.311,27.814,155.766,208.0,15,20.933,87.915,115.337,6.264,87.915,115.237,0.089,130.256,145.045,2.753,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV7,68.0,136,147.333,8.12,194.44,154.889,17.0,195.01,154.714,36.373,203.693,272.0,24,24.5,112.709,147.973,8.046,112.709,147.86,0.08,167.088,189.995,4.061,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV8,52.0,104,112.667,6.24,148.69,118.444,13.0,149.12,118.311,27.814,155.766,208.0,24,23.25,85.728,112.943,6.183,85.728,112.859,0.084,127.632,146.217,3.989,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV9,59.0,118,127.833,7.19,168.7,134.389,14.75,169.2,134.237,31.559,176.734,236.0,28,24.0,94.488,128.056,7.143,94.488,127.957,0.086,145.047,162.712,4.423,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV10,64.0,128,138.667,7.21,183.0,145.778,16.0,183.54,145.613,34.233,191.711,256.0,16,20.75,108.045,139.067,7.151,108.045,138.98,0.068,155.981,174.214,3.021,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV11,72.5,145,157.083,7.97,207.3,165.139,18.125,207.91,164.952,38.78,217.173,290.0,20,20.8,122.674,158.226,7.92,122.674,158.125,0.066,177.02,197.057,3.335,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV12,72.5,145,157.083,8.21,207.3,165.139,18.125,207.91,164.952,38.78,217.173,290.0,18,20.778,121.9,158.224,8.04,121.9,158.132,0.071,177.285,197.209,2.995,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV13,61.0,122,132.167,7.34,174.42,138.944,15.25,174.93,138.787,32.628,182.725,244.0,22,21.0,98.576,132.37,7.276,98.576,132.278,0.072,149.634,167.018,3.33,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV14,58.0,116,125.667,6.96,165.84,132.111,14.5,166.33,131.962,31.024,173.739,232.0,64,23.0,99.369,126.837,6.875,99.369,126.738,0.083,143.206,162.025,7.788,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV15,68.0,136,147.333,7.78,194.44,154.889,17.0,195.01,154.714,36.373,203.693,272.0,18,19.111,113.927,147.865,7.727,113.927,147.765,0.072,166.204,183.463,2.828,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV16,61.5,123,133.25,6.99,175.85,140.083,15.375,176.37,139.925,32.896,184.223,246.0,20,22.9,105.023,134.313,6.906,105.023,134.231,0.067,150.662,171.524,3.271,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV17,72.5,145,157.083,8.13,207.3,165.139,18.125,207.91,164.952,38.78,217.173,290.0,36,23.667,120.803,157.147,8.11,120.803,157.041,0.071,176.301,194.842,4.947,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV18,55.5,111,120.25,6.65,158.69,126.417,13.875,159.16,126.274,29.687,166.25,222.0,30,23.7,94.683,122.601,6.325,94.683,122.52,0.075,137.581,155.756,4.348,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV19,67.5,135,146.25,7.69,193.01,153.75,16.875,193.57,153.576,36.105,202.196,270.0,30,21.167,113.73,146.274,7.685,113.73,146.18,0.072,164.477,183.674,4.072,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV20,68.5,137,148.417,8.02,195.87,156.028,17.125,196.44,155.851,36.64,205.191,274.0,64,24.0,114.89,149.637,7.821,114.89,149.53,0.08,168.229,188.152,8.01,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV21,60.0,120,130.0,6.92,171.56,136.667,15.0,172.07,136.512,32.094,179.729,240.0,18,17.333,99.192,130.006,6.913,99.192,129.916,0.077,146.422,165.345,2.665,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV22,57.5,115,124.583,7.04,164.41,130.972,14.375,164.9,130.824,30.756,172.241,230.0,28,21.429,97.409,125.568,6.882,97.409,125.472,0.081,141.901,159.149,3.947,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV23,75.5,151,163.583,8.23,215.88,171.972,18.875,216.52,171.778,40.384,226.16,302.0,18,18.111,126.236,163.584,8.231,126.236,163.493,0.065,183.053,203.127,2.756,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV24,66.0,132,143.0,7.4,188.72,150.333,16.5,189.27,150.163,35.303,197.702,264.0,15,21.0,107.341,143.012,7.397,107.341,142.936,0.07,160.543,177.002,2.708,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV25,59.0,118,127.833,6.78,168.7,134.389,14.75,169.2,134.237,31.559,176.734,236.0,18,17.889,96.878,128.055,6.741,96.878,127.969,0.073,144.06,160.588,2.714,2.0,2.0,beta,1000000
Set 3.3 LA (high SP)_EV26,66.5,133,144.083,7.57,190.15,151.472,16.625,190.71,151.301,35.57,199.2,266.0,26,21.615,113.347,144.348,7.53,113.347,144.247,0.073,162.184,181.348,3.739,2.0,2.0,beta,1000000
