Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 4.2 TF (mid SP)_EV1,40.5,81,87.75,5.73,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162.0,126,10.849,63.573,87.75,5.725,63.573,87.662,0.087,101.324,114.941,8.042,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV2,44.5,89,96.417,6.68,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178.0,126,11.532,68.291,96.762,6.552,68.291,96.648,0.1,112.415,130.068,8.276,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV3,41.5,83,89.917,5.96,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,191,10.665,65.695,90.897,5.835,65.695,90.813,0.085,104.776,117.883,11.271,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV4,43.0,86,93.167,6.16,122.95,97.944,10.75,123.31,97.834,23.0,128.806,172.0,209,11.809,69.203,94.262,6.0,69.203,94.163,0.098,108.541,122.042,13.534,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV5,49.0,98,106.167,7.04,140.11,111.611,12.25,140.52,111.485,26.21,146.779,196.0,167,11.144,75.013,106.212,7.011,75.013,106.103,0.088,122.862,141.959,10.73,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV6,47.0,94,101.833,6.49,134.39,107.056,11.75,134.78,106.935,25.14,140.788,188.0,176,11.233,72.592,102.405,6.421,72.592,102.317,0.079,117.637,133.892,11.234,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV7,34.5,69,74.75,5.31,98.65,78.583,8.625,98.94,78.495,18.454,103.344,138.0,183,10.825,53.924,75.259,5.221,53.924,75.166,0.103,87.704,99.518,11.401,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV8,48.0,96,104.0,6.83,137.25,109.333,12.0,137.65,109.21,25.675,143.784,192.0,249,10.534,76.334,104.709,6.716,76.334,104.602,0.089,120.672,138.407,14.759,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV9,34.5,69,74.75,5.32,98.65,78.583,8.625,98.94,78.495,18.454,103.344,138.0,180,11.383,53.406,75.852,5.131,53.406,75.75,0.112,88.111,102.358,11.687,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV10,45.5,91,98.583,6.7,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182.0,126,11.643,69.164,98.839,6.62,69.164,98.733,0.093,114.582,129.385,8.631,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV11,41.5,83,89.917,5.97,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,210,11.152,64.398,89.934,5.961,64.398,89.848,0.088,104.105,121.152,13.121,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV12,39.5,79,85.583,5.97,112.94,89.972,9.875,113.28,89.871,21.128,118.322,158.0,259,10.521,60.105,85.609,5.95,60.105,85.502,0.105,99.813,113.572,15.107,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV13,42.0,84,91.0,6.22,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168.0,151,12.066,67.603,92.647,5.938,67.603,92.546,0.094,106.759,122.668,10.389,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV14,52.0,104,112.667,7.23,148.69,118.444,13.0,149.12,118.311,27.814,155.766,208.0,112,12.196,81.292,112.943,7.162,81.292,112.831,0.091,129.973,147.385,8.242,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV15,40.5,81,87.75,5.89,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162.0,223,10.664,63.863,87.88,5.827,63.863,87.778,0.103,101.81,116.567,13.663,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV16,50.0,100,108.333,6.87,142.97,113.889,12.5,143.39,113.76,26.745,149.775,200.0,156,11.359,78.068,108.41,6.831,78.068,108.315,0.091,124.7,141.974,10.375,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV17,46.5,93,100.75,6.56,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186.0,142,12.324,72.593,101.767,6.501,72.593,101.663,0.09,117.232,132.806,9.979,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV18,46.5,93,100.75,6.38,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186.0,249,10.843,73.804,100.748,6.359,73.804,100.649,0.087,115.828,132.075,15.195,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV19,48.5,97,105.083,6.76,138.68,110.472,12.125,139.09,110.347,25.942,145.281,194.0,245,11.192,78.806,105.899,6.626,78.806,105.801,0.09,121.654,136.176,15.197,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV20,41.0,82,88.833,6.28,117.23,93.389,10.25,117.58,93.283,21.931,122.815,164.0,160,11.338,65.937,89.572,6.087,65.937,89.453,0.11,104.129,119.39,10.459,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV21,38.0,76,82.333,5.86,108.66,86.556,9.5,108.98,86.458,20.326,113.829,152.0,209,12.335,59.846,82.786,5.694,59.846,82.666,0.117,96.435,109.653,14.276,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV22,46.5,93,100.75,6.56,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186.0,220,10.368,73.186,100.767,6.553,73.186,100.666,0.088,116.328,132.346,13.157,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV23,44.5,89,96.417,6.47,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178.0,242,12.215,72.076,97.587,6.245,72.076,97.476,0.104,112.518,126.82,16.275,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV24,36.5,73,79.083,6.03,104.37,83.139,9.125,104.67,83.045,19.524,109.335,146.0,166,10.693,57.736,81.807,5.584,57.736,81.707,0.101,95.139,108.228,10.656,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV25,45.5,91,98.583,6.5,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182.0,235,11.272,71.337,98.599,6.478,71.337,98.503,0.089,113.99,129.24,14.95,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV26,44.0,88,95.333,6.15,125.81,100.222,11.0,126.18,100.109,23.535,131.802,176.0,112,12.214,69.121,95.802,6.122,69.121,95.709,0.094,110.402,128.707,8.37,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV27,52.0,104,112.667,7.12,148.69,118.444,13.0,149.12,118.311,27.814,155.766,208.0,112,10.679,83.367,113.134,6.959,83.367,113.025,0.096,129.759,148.54,7.516,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV28,42.0,84,91.0,6.4,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168.0,334,10.437,66.624,91.389,6.269,66.624,91.266,0.114,106.395,122.839,19.462,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV29,44.0,88,95.333,6.34,125.81,100.222,11.0,126.18,100.109,23.535,131.802,176.0,199,10.869,69.134,95.342,6.344,69.134,95.243,0.093,110.431,126.941,12.607,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV30,26.5,53,57.417,4.26,75.77,60.361,6.625,76.0,60.293,14.175,79.381,106.0,201,11.239,41.193,58.277,4.22,41.193,58.189,0.12,68.362,81.78,12.787,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV31,44.5,89,96.417,6.44,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178.0,185,11.097,71.878,97.428,6.151,71.878,97.315,0.107,112.115,128.226,11.926,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV32,45.0,90,97.5,6.3,128.67,102.5,11.25,129.05,102.384,24.07,134.797,180.0,187,10.872,71.47,97.512,6.3,71.47,97.411,0.09,112.524,130.889,11.95,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV33,41.5,83,89.917,5.88,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,168,10.946,65.939,90.131,5.764,65.939,90.024,0.112,103.949,120.78,10.507,2.0,2.0,beta,1000000
Set 4.2 TF (mid SP)_EV34,35.5,71,76.917,5.31,101.51,80.861,8.875,101.81,80.77,18.989,106.34,142.0,170,11.224,55.034,78.011,5.104,55.034,77.928,0.092,90.14,103.57,11.09,2.0,2.0,beta,1000000
