Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 4.3 TF (high SP)_EV1,73.0,146,158.167,8.06,208.73,166.278,18.25,209.35,166.09,39.047,218.671,292.0,24,17.333,122.928,158.171,8.072,122.928,158.069,0.071,177.285,196.965,3.217,2.0,2.0,beta,1000000
Set 4.3 TF (high SP)_EV2,63.5,127,137.583,7.24,181.57,144.639,15.875,182.1,144.475,33.966,190.214,254.0,30,17.0,102.402,137.603,7.232,102.402,137.51,0.074,154.723,172.64,3.56,2.0,2.0,beta,1000000
Set 4.3 TF (high SP)_EV3,72.0,144,156.0,7.87,205.87,164.0,18.0,206.48,163.815,38.512,215.675,288.0,22,19.955,123.233,156.003,7.858,123.233,155.913,0.064,174.554,192.502,3.393,2.0,2.0,beta,1000000
Set 4.3 TF (high SP)_EV4,78.0,156,169.0,8.46,223.03,177.667,19.5,223.69,177.466,41.722,233.648,312.0,15,18.8,131.38,168.997,8.455,131.38,168.901,0.064,189.027,210.903,3.154,2.0,2.0,beta,1000000
Set 4.3 TF (high SP)_EV5,56.5,113,122.417,6.56,161.55,128.694,14.125,162.03,128.549,30.221,169.245,226.0,27,16.667,94.812,122.415,6.564,94.812,122.334,0.076,137.975,156.336,3.742,2.0,2.0,beta,1000000
Set 4.3 TF (high SP)_EV6,71.0,142,153.833,7.97,203.01,161.722,17.75,203.61,161.539,37.977,212.68,284.0,16,19.0,115.741,153.854,7.965,115.741,153.761,0.068,172.717,191.759,2.729,2.0,2.0,beta,1000000
Set 4.3 TF (high SP)_EV7,68.5,137,148.417,8.18,195.87,156.028,17.125,196.44,155.851,36.64,205.191,274.0,18,18.0,112.071,149.177,8.128,112.071,149.08,0.071,168.433,189.716,2.812,2.0,2.0,beta,1000000
Set 4.3 TF (high SP)_EV8,52.0,104,112.667,6.31,148.69,118.444,13.0,149.12,118.311,27.814,155.766,208.0,20,20.2,85.217,112.697,6.301,85.217,112.605,0.084,127.686,143.794,3.174,2.0,2.0,beta,1000000
Set 4.3 TF (high SP)_EV9,65.0,130,140.833,7.79,185.86,148.056,16.25,186.4,147.888,34.768,194.707,260.0,28,16.929,106.832,140.831,7.804,106.832,140.727,0.081,159.387,179.38,3.549,2.0,2.0,beta,1000000
Set 4.3 TF (high SP)_EV10,71.0,142,153.833,8.2,203.01,161.722,17.75,203.61,161.539,37.977,212.68,284.0,20,19.0,118.22,153.995,8.142,118.22,153.902,0.072,173.342,196.168,3.05,2.0,2.0,beta,1000000
