Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 1 SP_EV1,13.0,26,28.167,3.84,37.17,29.611,3.25,37.28,29.578,6.954,38.941,52.0,24,3.833,18.781,29.783,4.081,18.781,29.268,0.833,41.727,70.81,1.933,2.0,2.0,lognormal,1000000
Set 1 SP_EV2,12.0,24,26.0,3.59,34.31,27.333,3.0,34.41,27.302,6.419,35.946,48.0,38,4.211,18.948,28.932,3.681,18.948,28.442,0.907,39.877,66.896,2.336,2.0,2.0,lognormal,1000000
Set 1 SP_EV3,11.5,23,24.917,3.4,32.88,26.194,2.875,32.98,26.165,6.151,34.448,46.0,50,4.22,18.645,27.808,3.396,18.645,27.336,0.968,38.037,62.655,2.633,2.0,2.0,lognormal,1000000
Set 1 SP_EV4,12.5,25,27.083,3.63,35.74,28.472,3.125,35.85,28.44,6.686,37.444,50.0,59,4.186,19.154,29.225,3.612,19.154,28.723,0.909,39.964,63.185,2.86,2.0,2.0,lognormal,1000000
Set 1 SP_EV5,14.0,28,30.333,4.06,40.03,31.889,3.5,40.15,31.853,7.488,41.937,56.0,47,4.213,21.69,33.888,4.119,21.69,33.335,0.879,46.084,72.149,2.788,2.0,2.0,lognormal,1000000
Set 1 SP_EV6,10.0,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40.0,47,4.021,16.274,25.306,3.472,16.274,24.798,1.007,35.893,61.057,2.572,2.0,2.0,lognormal,1000000
Set 1 SP_EV7,10.5,21,22.75,3.05,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42.0,33,3.879,16.265,25.326,3.247,16.265,24.891,0.925,35.034,71.253,2.28,2.0,2.0,lognormal,1000000
Set 1 SP_EV8,11.5,23,24.917,3.36,32.88,26.194,2.875,32.98,26.165,6.151,34.448,46.0,39,3.949,17.488,27.567,3.469,17.488,27.106,0.904,37.871,66.053,2.325,2.0,2.0,lognormal,1000000
Set 1 SP_EV9,13.0,26,28.167,3.79,37.17,29.611,3.25,37.28,29.578,6.954,38.941,52.0,58,4.362,20.813,31.429,3.642,20.813,30.934,0.919,42.294,71.967,2.918,2.0,2.0,lognormal,1000000
Set 1 SP_EV10,10.0,20,21.667,2.89,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40.0,25,3.28,14.871,23.33,3.028,14.871,22.939,0.868,32.243,54.827,1.977,2.0,2.0,lognormal,1000000
Set 1 SP_EV11,13.5,27,29.25,3.9,38.6,30.75,3.375,38.71,30.715,7.221,40.439,54.0,47,4.17,19.153,31.097,4.124,19.153,30.608,0.777,43.009,65.185,2.691,2.0,2.0,lognormal,1000000
Set 1 SP_EV12,10.5,21,22.75,3.17,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42.0,43,4.0,15.879,24.489,3.254,15.879,24.033,0.959,34.273,64.168,2.491,2.0,2.0,lognormal,1000000
Set 1 SP_EV13,11.0,22,23.833,3.22,31.45,25.056,2.75,31.55,25.027,5.884,32.95,44.0,33,3.97,17.823,26.984,3.369,17.823,26.521,0.96,37.12,61.046,2.246,2.0,2.0,lognormal,1000000
Set 1 SP_EV14,8.0,16,17.333,2.35,22.87,18.222,2.0,22.94,18.202,4.279,23.964,32.0,28,3.571,12.194,18.84,2.488,12.194,18.497,0.979,26.298,48.62,2.135,2.0,2.0,lognormal,1000000
Set 1 SP_EV15,11.5,23,24.917,3.61,32.88,26.194,2.875,32.98,26.165,6.151,34.448,46.0,31,3.903,16.958,27.058,3.739,16.958,26.539,0.951,38.287,67.697,2.177,2.0,2.0,lognormal,1000000
Set 1 SP_EV16,12.0,24,26.0,3.52,34.31,27.333,3.0,34.41,27.302,6.419,35.946,48.0,36,4.139,18.592,29.418,3.709,18.592,28.944,0.856,40.349,63.692,2.376,2.0,2.0,lognormal,1000000
Set 1 SP_EV17,9.0,18,19.5,3.2,25.73,20.5,2.25,25.81,20.477,4.814,26.959,36.0,61,4.082,14.971,23.85,3.26,14.971,23.379,1.015,33.783,62.104,2.854,2.0,2.0,lognormal,1000000
Set 1 SP_EV18,10.5,21,22.75,3.21,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42.0,34,3.794,15.926,25.244,3.322,15.926,24.801,0.92,35.177,60.617,2.26,2.0,2.0,lognormal,1000000
Set 1 SP_EV19,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,28.457,38.0,35,3.829,15.112,23.705,3.299,15.112,23.211,1.039,33.821,67.223,2.249,2.0,2.0,lognormal,1000000
Set 1 SP_EV20,13.0,26,28.167,3.84,37.17,29.611,3.25,37.28,29.578,6.954,38.941,52.0,97,4.66,20.794,31.778,3.852,20.794,31.271,0.886,43.167,86.153,4.035,2.0,2.0,lognormal,1000000
