Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 2.1 AD (low SP)_EV1,20.0,40,43.333,4.73,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,146,6.226,33.819,48.587,4.851,33.819,48.054,0.714,62.442,88.948,6.511,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV2,20.0,40,43.333,4.5,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,277,6.574,35.57,49.435,4.632,35.57,48.96,0.667,62.473,98.571,10.771,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV3,12.5,25,27.083,2.99,35.74,28.472,3.125,35.85,28.44,6.686,37.444,50.0,38,5.0,20.446,30.715,3.353,20.446,30.283,0.902,40.673,72.765,2.605,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV4,19.5,39,42.25,4.42,55.76,44.417,4.875,55.92,44.366,10.43,58.412,78.0,112,6.036,31.263,45.5,4.636,31.263,45.011,0.681,58.6,81.651,5.286,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV5,24.5,49,53.083,5.18,70.05,55.806,6.125,70.26,55.742,13.105,73.39,98.0,98,6.184,38.111,55.772,5.525,38.111,55.258,0.591,70.985,101.405,5.259,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV6,15.5,31,33.583,3.8,44.32,35.306,3.875,44.45,35.266,8.291,46.43,62.0,67,5.791,24.861,37.111,3.877,24.861,36.69,0.713,48.168,69.186,4.142,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV7,25.5,51,55.25,5.27,72.91,58.083,6.375,73.13,58.018,13.64,76.385,102.0,102,5.931,41.191,58.608,5.534,41.191,58.103,0.583,73.84,106.095,5.328,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV8,22.5,45,48.75,5.11,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,306,6.657,36.71,52.988,5.29,36.71,52.455,0.643,67.785,93.429,16.038,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV9,23.0,46,49.833,4.85,65.77,52.389,5.75,65.96,52.33,12.303,68.896,92.0,101,5.931,36.435,53.551,5.203,36.435,53.073,0.584,67.933,95.317,4.993,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV10,25.0,50,54.167,5.26,71.48,56.944,6.25,71.69,56.88,13.372,74.887,100.0,125,6.2,41.059,57.943,5.433,41.059,57.411,0.621,73.067,102.719,5.882,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV11,20.5,41,44.417,4.34,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,194,6.443,35.13,49.087,4.638,35.13,48.625,0.635,62.025,84.934,8.504,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV12,21.0,42,45.5,4.81,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,392,6.194,37.116,51.594,4.631,37.116,51.115,0.682,64.707,100.323,14.342,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV13,20.5,41,44.417,4.59,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,105,5.99,33.329,47.983,4.826,33.329,47.499,0.646,61.501,86.733,5.177,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV14,24.0,48,52.0,5.06,68.62,54.667,6.0,68.83,54.605,12.837,71.892,96.0,177,6.203,39.265,57.516,5.205,39.265,57.002,0.627,72.006,110.527,7.54,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV15,25.5,51,55.25,5.32,72.91,58.083,6.375,73.13,58.018,13.64,76.385,102.0,449,7.067,40.962,58.446,5.576,40.962,57.908,0.61,73.909,102.93,18.508,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV16,14.0,28,30.333,3.54,40.03,31.889,3.5,40.15,31.853,7.488,41.937,56.0,76,5.605,23.467,33.908,3.652,23.467,33.454,0.844,44.611,75.821,4.242,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV17,19.5,39,42.25,4.38,55.76,44.417,4.875,55.92,44.366,10.43,58.412,78.0,66,5.803,30.801,44.737,4.602,30.801,44.285,0.628,57.559,81.907,3.677,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV18,21.0,42,45.5,4.51,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,101,6.267,34.713,49.108,4.713,34.713,48.634,0.642,62.292,87.028,4.899,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV19,18.0,36,39.0,4.03,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,234,6.158,30.011,42.644,4.191,30.011,42.217,0.653,54.387,75.984,9.169,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV20,21.0,42,45.5,4.87,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,253,6.996,34.074,50.236,5.055,34.074,49.707,0.675,64.452,97.718,10.917,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV21,24.0,48,52.0,5.06,68.62,54.667,6.0,68.83,54.605,12.837,71.892,96.0,316,6.582,37.914,55.164,5.355,37.914,54.653,0.603,69.945,93.263,12.73,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV22,17.0,34,36.833,4.11,48.61,38.722,4.25,48.75,38.678,9.093,50.923,68.0,48,5.292,26.164,38.874,4.331,26.164,38.384,0.739,51.261,82.636,3.035,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV23,25.5,51,55.25,5.32,72.91,58.083,6.375,73.13,58.018,13.64,76.385,102.0,232,6.487,40.741,58.728,5.582,40.741,58.213,0.584,74.128,102.115,9.758,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV24,23.0,46,49.833,4.85,65.77,52.389,5.75,65.96,52.33,12.303,68.896,92.0,226,6.513,37.987,53.796,5.053,37.987,53.29,0.637,67.903,96.014,11.223,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV25,16.5,33,35.75,3.91,47.18,37.583,4.125,47.32,37.541,8.826,49.426,66.0,84,5.595,28.695,40.599,3.964,28.695,40.123,0.802,52.153,77.941,4.397,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV26,16.5,33,35.75,4.19,47.18,37.583,4.125,47.32,37.541,8.826,49.426,66.0,88,5.807,29.701,41.617,4.03,29.701,41.153,0.774,53.255,80.744,4.512,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV27,22.5,45,48.75,4.97,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,205,6.234,36.528,52.653,5.261,36.528,52.152,0.615,67.28,96.072,8.812,2.0,2.0,lognormal,1000000
Set 2.1 AD (low SP)_EV28,21.5,43,46.583,4.92,61.48,48.972,5.375,61.66,48.917,11.5,64.403,86.0,124,5.944,35.225,50.968,5.094,35.225,50.44,0.674,65.323,97.558,5.962,2.0,2.0,lognormal,1000000
