Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 2.2 AD (mid SP)_EV1,46.0,92,99.667,6.45,131.53,104.778,11.5,131.92,104.659,24.605,137.793,184.0,1936,13.227,81.517,107.477,6.938,81.517,107.013,0.424,125.839,152.758,136.581,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV2,40.0,80,86.667,5.71,114.37,91.111,10.0,114.71,91.008,21.396,119.82,160.0,57,8.018,69.884,91.014,6.106,69.884,90.605,0.424,107.182,131.854,4.351,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV3,39.0,78,84.5,5.82,111.52,88.833,9.75,111.84,88.733,20.861,116.824,156.0,442,12.165,67.985,89.788,6.294,67.985,89.338,0.446,106.535,135.073,29.599,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV4,43.5,87,94.25,6.31,124.38,99.083,10.875,124.75,98.971,23.268,130.304,174.0,302,11.517,75.844,99.065,6.74,75.844,98.591,0.438,116.966,146.209,20.422,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV5,46.5,93,100.75,6.83,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186.0,2070,14.932,84.75,109.485,7.221,84.75,108.995,0.431,128.582,163.954,164.992,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV6,41.5,83,89.917,6.23,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,702,13.923,71.819,95.932,6.574,71.819,95.453,0.445,113.372,149.053,54.295,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV7,44.0,88,95.333,6.21,125.81,100.222,11.0,126.18,100.109,23.535,131.802,176.0,173,11.168,78.34,100.865,6.615,78.34,100.407,0.432,118.391,150.108,12.577,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV8,47.5,95,102.917,6.68,135.82,108.194,11.875,136.22,108.072,25.407,142.286,190.0,2196,13.96,84.646,110.636,7.133,84.646,110.157,0.42,129.452,154.842,167.962,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV9,39.0,78,84.5,5.88,111.52,88.833,9.75,111.84,88.733,20.861,116.824,156.0,110,10.064,67.746,89.116,6.24,67.746,88.672,0.451,105.715,130.169,7.986,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV10,48.5,97,105.083,6.63,138.68,110.472,12.125,139.09,110.347,25.942,145.281,194.0,89,8.764,84.334,110.349,7.085,84.334,109.908,0.396,128.926,158.753,6.363,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV11,44.0,88,95.333,6.44,125.81,100.222,11.0,126.18,100.109,23.535,131.802,176.0,600,13.895,75.837,100.883,6.844,75.837,100.412,0.433,119.051,148.527,46.659,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV12,50.0,100,108.333,7.12,142.97,113.889,12.5,143.39,113.76,26.745,149.775,200.0,816,15.113,88.875,116.296,7.541,88.875,115.794,0.411,136.154,166.006,67.042,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV13,42.0,84,91.0,6.17,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168.0,361,11.637,72.519,95.724,6.59,72.519,95.266,0.433,113.197,141.189,24.667,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV14,41.0,82,88.833,6.2,117.23,93.389,10.25,117.58,93.283,21.931,122.815,164.0,360,11.272,72.11,94.322,6.54,72.11,93.838,0.462,111.774,141.054,24.336,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV15,46.0,92,99.667,6.51,131.53,104.778,11.5,131.92,104.659,24.605,137.793,184.0,1260,14.87,82.525,106.857,6.789,82.525,106.406,0.424,124.759,157.2,100.374,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV16,38.5,77,83.417,5.89,110.09,87.694,9.625,110.41,87.595,20.593,115.326,154.0,912,13.239,67.283,89.168,6.261,67.283,88.705,0.464,105.921,134.958,67.964,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV17,44.0,88,95.333,6.45,125.81,100.222,11.0,126.18,100.109,23.535,131.802,176.0,350,12.157,77.299,101.269,6.831,77.299,100.807,0.425,119.322,148.708,24.742,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV18,35.5,71,76.917,5.64,101.51,80.861,8.875,101.81,80.77,18.989,106.34,142.0,140,10.029,59.906,81.13,6.057,59.906,80.651,0.5,97.483,131.7,9.442,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV19,46.5,93,100.75,6.98,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186.0,522,13.994,82.704,108.438,7.267,82.704,107.931,0.435,127.672,161.146,41.44,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV20,45.0,90,97.5,6.64,128.67,102.5,11.25,129.05,102.384,24.07,134.797,180.0,1848,14.773,77.622,103.191,7.023,77.622,102.699,0.441,121.857,148.475,147.235,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV21,46.0,92,99.667,6.6,131.53,104.778,11.5,131.92,104.659,24.605,137.793,184.0,159,10.987,79.54,104.664,7.064,79.54,104.189,0.421,123.32,151.481,11.485,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV22,33.0,66,71.5,4.85,94.36,75.167,8.25,94.64,75.082,17.651,98.851,132.0,110,10.027,56.904,75.614,5.261,56.904,75.224,0.471,89.698,115.868,7.879,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV23,42.0,84,91.0,6.24,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168.0,884,14.032,73.5,97.778,6.648,73.5,97.324,0.429,115.352,147.975,69.547,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV24,47.0,94,101.833,6.69,134.39,107.056,11.75,134.78,106.935,25.14,140.788,188.0,538,11.948,81.947,107.126,7.153,81.947,106.644,0.422,125.987,158.392,36.537,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV25,58.0,116,125.667,7.87,165.84,132.111,14.5,166.33,131.962,31.024,173.739,232.0,1530,14.621,102.801,133.753,8.358,102.801,133.229,0.377,155.578,198.166,121.021,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV26,40.0,80,86.667,5.94,114.37,91.111,10.0,114.71,91.008,21.396,119.82,160.0,339,11.664,69.293,91.799,6.303,69.293,91.354,0.443,108.563,136.505,23.392,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV27,47.5,95,102.917,6.5,135.82,108.194,11.875,136.22,108.072,25.407,142.286,190.0,188,10.654,82.18,108.09,6.943,82.18,107.646,0.4,126.299,164.523,12.852,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV28,43.5,87,94.25,6.18,124.38,99.083,10.875,124.75,98.971,23.268,130.304,174.0,1008,15.02,78.925,101.726,6.489,78.925,101.282,0.431,118.914,148.272,82.427,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV29,58.5,117,126.75,7.9,167.27,133.25,14.625,167.76,133.099,31.291,175.236,234.0,134,10.03,103.112,133.105,8.457,103.112,132.589,0.377,155.126,184.06,9.36,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV30,39.0,78,84.5,5.88,111.52,88.833,9.75,111.84,88.733,20.861,116.824,156.0,140,9.879,67.106,89.023,6.275,67.106,88.563,0.467,105.823,134.333,9.681,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV31,50.0,100,108.333,6.92,142.97,113.889,12.5,143.39,113.76,26.745,149.775,200.0,819,13.828,88.033,114.023,7.353,88.033,113.539,0.405,133.367,166.177,62.673,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV32,47.0,94,101.833,6.64,134.39,107.056,11.75,134.78,106.935,25.14,140.788,188.0,740,14.195,82.817,107.859,7.033,82.817,107.397,0.408,126.336,161.304,58.611,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV33,39.5,79,85.583,5.77,112.94,89.972,9.875,113.28,89.871,21.128,118.322,158.0,30,9.833,68.338,89.881,6.172,68.338,89.452,0.434,106.282,135.051,3.356,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV34,39.5,79,85.583,5.99,112.94,89.972,9.875,113.28,89.871,21.128,118.322,158.0,522,14.161,69.666,92.301,6.433,69.666,91.823,0.459,109.454,136.412,41.841,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV35,37.5,75,81.25,5.91,107.23,85.417,9.375,107.54,85.32,20.058,112.331,150.0,112,11.607,64.279,87.068,6.381,64.279,86.58,0.484,104.193,139.832,8.963,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV36,40.0,80,86.667,6.13,114.37,91.111,10.0,114.71,91.008,21.396,119.82,160.0,138,10.21,67.641,91.039,6.558,67.641,90.549,0.466,108.544,138.442,9.794,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV37,40.5,81,87.75,5.96,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162.0,179,10.899,70.268,92.411,6.342,70.268,91.96,0.443,109.27,136.413,12.816,2.0,2.0,lognormal,1000000
Set 2.2 AD (mid SP)_EV38,51.5,103,111.583,7.16,147.26,117.306,12.875,147.69,117.173,27.547,154.268,206.0,2398,13.339,89.068,117.955,7.658,89.068,117.465,0.402,138.07,167.632,175.865,2.0,2.0,lognormal,1000000
