Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 3.1 LA (low SP)_EV1,22.0,44,47.667,4.68,62.91,50.111,5.5,63.09,50.054,11.768,65.901,88.0,200,6.09,34.52,50.326,4.928,34.52,49.837,0.632,64.057,88.977,8.318,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV2,18.0,36,39.0,4.23,51.47,41.0,4.5,51.62,40.954,9.628,53.919,72.0,251,6.418,29.169,42.706,4.388,29.169,42.218,0.723,55.25,79.552,10.404,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV3,22.5,45,48.75,4.99,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,105,6.229,37.141,52.271,5.126,37.141,51.727,0.672,66.749,97.339,5.35,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV4,19.5,39,42.25,4.49,55.76,44.417,4.875,55.92,44.366,10.43,58.412,78.0,179,6.492,33.747,47.315,4.446,33.747,46.84,0.694,59.931,85.347,7.934,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV5,21.0,42,45.5,4.34,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,248,6.536,35.836,50.29,4.498,35.836,49.847,0.636,62.855,88.005,10.327,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV6,20.0,40,43.333,4.33,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,214,6.729,33.484,47.917,4.491,33.484,47.463,0.647,60.51,91.815,9.5,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV7,20.5,41,44.417,4.48,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,170,6.582,33.644,48.086,4.648,33.644,47.601,0.67,61.205,82.946,7.644,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV8,22.5,45,48.75,5.06,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,103,6.233,36.021,52.623,5.238,36.021,52.097,0.641,67.273,99.619,5.012,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV9,20.5,41,44.417,4.6,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,195,5.923,33.121,48.599,4.807,33.121,48.104,0.662,62.124,88.733,8.099,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV10,22.0,44,47.667,4.89,62.91,50.111,5.5,63.09,50.054,11.768,65.901,88.0,191,6.162,36.843,52.816,5.001,36.843,52.314,0.652,66.854,96.606,7.854,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV11,18.5,37,40.083,3.9,52.9,42.139,4.625,53.05,42.091,9.896,55.417,74.0,206,6.058,29.862,43.468,4.165,29.862,43.042,0.671,55.187,80.646,8.72,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV12,20.0,40,43.333,4.65,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,193,6.047,32.709,46.965,4.797,32.709,46.446,0.697,60.579,92.123,7.728,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV13,21.0,42,45.5,4.49,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,263,6.586,35.309,50.979,4.685,35.309,50.526,0.627,64.036,92.44,10.573,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV14,22.5,45,48.75,4.74,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,221,6.543,35.264,51.269,5.049,35.264,50.795,0.594,65.203,93.33,9.388,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV15,22.0,44,47.667,4.65,62.91,50.111,5.5,63.09,50.054,11.768,65.901,88.0,162,6.426,33.665,50.78,4.924,33.665,50.315,0.605,64.414,103.522,7.521,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV16,21.0,42,45.5,4.49,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,212,6.896,35.021,50.294,4.608,35.021,49.816,0.676,63.295,86.872,9.678,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV17,20.0,40,43.333,4.54,57.19,45.556,5.0,57.36,45.504,10.698,59.91,80.0,183,6.612,35.219,49.44,4.657,35.219,48.957,0.67,62.553,89.568,8.051,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV18,20.5,41,44.417,4.63,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,242,6.074,34.889,50.317,4.909,34.889,49.805,0.675,64.152,93.922,9.693,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV19,20.5,41,44.417,4.41,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,192,6.109,32.704,47.509,4.59,32.704,47.033,0.661,60.413,84.886,8.314,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV20,21.0,42,45.5,4.39,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,354,6.342,33.236,48.711,4.601,33.236,48.256,0.628,61.55,90.094,13.524,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV21,21.0,42,45.5,4.34,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,140,6.036,35.333,50.111,4.733,35.333,49.645,0.633,63.31,86.674,6.151,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV22,17.5,35,37.917,4.02,50.04,39.861,4.375,50.19,39.816,9.361,52.421,70.0,196,5.872,30.101,42.462,4.005,30.101,42.026,0.712,53.89,76.978,9.222,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV23,21.0,42,45.5,4.49,60.05,47.833,5.25,60.22,47.779,11.233,62.905,84.0,260,6.4,36.392,51.306,4.65,36.392,50.838,0.652,64.347,91.804,10.818,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV24,22.5,45,48.75,4.64,64.34,51.25,5.625,64.52,51.192,12.035,67.399,90.0,136,5.478,35.774,51.435,4.96,35.774,50.995,0.564,65.027,87.599,5.776,2.0,2.0,lognormal,1000000
Set 3.1 LA (low SP)_EV25,20.5,41,44.417,4.41,58.62,46.694,5.125,58.79,46.642,10.965,61.408,82.0,253,6.292,34.157,48.572,4.637,34.157,48.099,0.659,61.592,88.82,10.379,2.0,2.0,lognormal,1000000
