Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds)
Set 1 SP_EV1,13.0,26,28.167,3.84,37.17,29.611,3.25,37.28,29.578,6.954,52.0,52.0,15.746,30.612,4.564,15.746,30.376,0.267,41.828,50.675,1.651
Set 1 SP_EV2,12.0,24,26.0,3.59,34.31,27.333,3.0,34.41,27.302,6.419,48.0,48.0,16.971,30.062,3.621,16.971,29.841,0.302,39.085,46.212,1.985
Set 1 SP_EV3,11.5,23,24.917,3.4,32.88,26.194,2.875,32.98,26.165,6.151,46.0,46.0,17.982,28.885,3.134,17.982,28.687,0.36,37.015,43.738,2.308
Set 1 SP_EV4,12.5,25,27.083,3.63,35.74,28.472,3.125,35.85,28.44,6.686,50.0,50.0,18.552,30.179,3.674,18.552,29.791,0.527,40.032,47.906,2.455
Set 1 SP_EV5,14.0,28,30.333,4.06,40.03,31.889,3.5,40.15,31.853,7.488,56.0,56.0,21.877,35.152,4.2,21.877,34.783,0.415,45.974,53.566,2.269
Set 1 SP_EV6,10.0,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,40.0,40.0,15.448,26.394,3.162,15.448,26.223,0.278,34.265,39.4,2.284
Set 1 SP_EV7,10.5,21,22.75,3.05,30.02,23.917,2.625,30.11,23.89,5.616,42.0,42.0,14.744,26.298,3.178,14.744,26.175,0.207,34.007,40.103,1.883
Set 1 SP_EV8,11.5,23,24.917,3.36,32.88,26.194,2.875,32.98,26.165,6.151,46.0,46.0,16.546,28.618,3.285,16.546,28.487,0.255,36.891,44.423,2.059
Set 1 SP_EV9,13.0,26,28.167,3.79,37.17,29.611,3.25,37.28,29.578,6.954,52.0,52.0,20.899,32.631,3.474,20.899,32.368,0.409,41.732,49.962,2.548
Set 1 SP_EV10,10.0,20,21.667,2.89,28.59,22.778,2.5,28.68,22.752,5.349,40.0,40.0,13.341,24.122,3.131,13.341,23.973,0.277,32.008,38.206,1.653
Set 1 SP_EV11,13.5,27,29.25,3.9,38.6,30.75,3.375,38.71,30.715,7.221,54.0,54.0,15.364,32.081,4.641,15.364,31.912,0.197,43.264,51.253,2.256
Set 1 SP_EV12,10.5,21,22.75,3.17,30.02,23.917,2.625,30.11,23.89,5.616,42.0,42.0,13.962,25.322,3.316,13.962,25.022,0.431,33.945,41.04,2.069
Set 1 SP_EV13,11.0,22,23.833,3.22,31.45,25.056,2.75,31.55,25.027,5.884,44.0,44.0,17.077,28.086,3.08,17.077,27.965,0.221,35.719,42.124,1.855
Set 1 SP_EV14,8.0,16,17.333,2.35,22.87,18.222,2.0,22.94,18.202,4.279,32.0,32.0,11.025,19.371,2.445,11.025,19.164,0.407,25.693,31.294,1.693
Set 1 SP_EV15,11.5,23,24.917,3.61,32.88,26.194,2.875,32.98,26.165,6.151,46.0,46.0,15.348,28.032,3.907,15.348,27.826,0.275,37.693,44.365,1.82
Set 1 SP_EV16,12.0,24,26.0,3.52,34.31,27.333,3.0,34.41,27.302,6.419,48.0,48.0,18.101,30.52,3.668,18.101,30.318,0.279,39.604,46.448,1.954
Set 1 SP_EV17,9.0,18,19.5,3.2,25.73,20.5,2.25,25.81,20.477,4.814,36.0,36.0,14.326,24.942,2.994,14.326,24.869,0.119,31.951,35.724,2.472
Set 1 SP_EV18,10.5,21,22.75,3.21,30.02,23.917,2.625,30.11,23.89,5.616,42.0,42.0,14.212,26.233,3.277,14.212,26.082,0.239,34.311,41.27,1.887
Set 1 SP_EV19,9.5,19,20.583,3.36,27.16,21.639,2.375,27.24,21.614,5.081,38.0,38.0,14.485,24.695,3.096,14.485,24.49,0.335,32.517,37.544,1.877
Set 1 SP_EV20,13.0,26,28.167,3.84,37.17,29.611,3.25,37.28,29.578,6.954,52.0,52.0,19.07,33.101,3.764,19.07,32.911,0.256,42.398,50.193,3.445
Set 1 SP_EV21,12.0,24,26.0,3.59,34.31,27.333,3.0,34.41,27.302,6.419,48.0,48.0,17.868,29.846,3.416,17.868,29.616,0.382,38.76,46.704,1.934
Set 1 SP_EV22,8.0,16,17.333,2.83,22.87,18.222,2.0,22.94,18.202,4.279,32.0,32.0,14.087,22.638,2.278,14.087,22.514,0.273,28.348,31.569,1.709
Set 1 SP_EV23,10.0,20,21.667,3.24,28.59,22.778,2.5,28.68,22.752,5.349,40.0,40.0,13.673,25.837,3.584,13.673,25.713,0.186,34.459,39.299,1.65
Set 1 SP_EV24,9.0,18,19.5,2.87,25.73,20.5,2.25,25.81,20.477,4.814,36.0,36.0,13.19,23.033,2.626,13.19,22.914,0.273,29.696,34.551,1.754
