Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 1 SP_EV1,13.0,26,28.167,3.84,37.17,29.611,3.25,37.28,29.578,6.954,38.941,52.0,16.087,30.611,4.568,16.087,30.374,0.271,41.861,50.159,1.647,2.0,2.0,triangular,1000000
Set 1 SP_EV2,12.0,24,26.0,3.59,34.31,27.333,3.0,34.41,27.302,6.419,35.946,48.0,17.552,30.055,3.619,17.552,29.829,0.305,39.079,45.911,2.003,2.0,2.0,triangular,1000000
Set 1 SP_EV3,11.5,23,24.917,3.4,32.88,26.194,2.875,32.98,26.165,6.151,34.448,46.0,17.864,28.885,3.132,17.864,28.684,0.359,37.0,44.726,2.299,2.0,2.0,triangular,1000000
Set 1 SP_EV4,12.5,25,27.083,3.63,35.74,28.472,3.125,35.85,28.44,6.686,37.444,50.0,18.549,30.166,3.667,18.549,29.781,0.531,40.026,47.417,2.43,2.0,2.0,triangular,1000000
Set 1 SP_EV5,14.0,28,30.333,4.06,40.03,31.889,3.5,40.15,31.853,7.488,41.937,56.0,21.167,35.153,4.204,21.167,34.775,0.42,45.986,54.067,2.267,2.0,2.0,triangular,1000000
Set 1 SP_EV6,10.0,20,21.667,3.54,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40.0,14.964,26.392,3.167,14.964,26.224,0.273,34.252,39.563,2.109,2.0,2.0,triangular,1000000
Set 1 SP_EV7,10.5,21,22.75,3.05,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42.0,14.902,26.295,3.178,14.902,26.174,0.206,34.004,40.825,1.846,2.0,2.0,triangular,1000000
Set 1 SP_EV8,11.5,23,24.917,3.36,32.88,26.194,2.875,32.98,26.165,6.151,34.448,46.0,16.842,28.62,3.281,16.842,28.495,0.251,36.892,43.495,1.978,2.0,2.0,triangular,1000000
Set 1 SP_EV9,13.0,26,28.167,3.79,37.17,29.611,3.25,37.28,29.578,6.954,38.941,52.0,20.737,32.633,3.477,20.737,32.371,0.409,41.747,49.354,2.524,2.0,2.0,triangular,1000000
Set 1 SP_EV10,10.0,20,21.667,2.89,28.59,22.778,2.5,28.68,22.752,5.349,29.955,40.0,13.313,24.116,3.128,13.313,23.966,0.277,31.972,38.465,1.578,2.0,2.0,triangular,1000000
Set 1 SP_EV11,13.5,27,29.25,3.9,38.6,30.75,3.375,38.71,30.715,7.221,40.439,54.0,16.348,32.068,4.632,16.348,31.9,0.196,43.221,52.048,2.178,2.0,2.0,triangular,1000000
Set 1 SP_EV12,10.5,21,22.75,3.17,30.02,23.917,2.625,30.11,23.89,5.616,31.453,42.0,13.812,25.316,3.315,13.812,25.018,0.427,33.926,40.335,2.007,2.0,2.0,triangular,1000000
Set 1 SP_EV13,11.0,22,23.833,3.22,31.45,25.056,2.75,31.55,25.027,5.884,32.95,44.0,16.347,28.086,3.081,16.347,27.966,0.226,35.726,42.016,1.824,2.0,2.0,triangular,1000000
Set 1 SP_EV14,8.0,16,17.333,2.35,22.87,18.222,2.0,22.94,18.202,4.279,23.964,32.0,11.454,19.367,2.441,11.454,19.158,0.411,25.675,30.706,1.662,2.0,2.0,triangular,1000000
