Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 3.2 LA (mid SP)_EV1,48.0,96,104.0,6.67,137.25,109.333,12.0,137.65,109.21,25.675,143.784,192.0,536,11.651,80.863,115.045,7.948,80.863,114.92,0.09,133.948,152.481,32.044,2.0,2.0,triangular,1000000
Set 3.2 LA (mid SP)_EV2,53.5,107,115.917,7.22,152.98,121.861,13.375,153.43,121.723,28.617,160.259,214.0,230,12.626,86.543,126.115,8.805,86.543,125.973,0.096,147.081,168.172,15.245,2.0,2.0,triangular,1000000
Set 3.2 LA (mid SP)_EV3,31.5,63,68.25,5.11,90.07,71.75,7.875,90.33,71.669,16.849,94.358,126.0,408,13.176,51.804,77.94,5.873,51.804,77.851,0.09,91.838,105.029,27.045,2.0,2.0,triangular,1000000
Set 3.2 LA (mid SP)_EV4,44.0,88,95.333,6.15,125.81,100.222,11.0,126.18,100.109,23.535,131.802,176.0,444,12.36,71.73,103.017,7.522,71.73,102.868,0.113,121.036,140.093,27.516,2.0,2.0,triangular,1000000
Set 3.2 LA (mid SP)_EV5,44.5,89,96.417,6.44,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178.0,293,12.133,72.424,104.846,7.753,72.424,104.691,0.113,123.437,141.358,18.082,2.0,2.0,triangular,1000000
Set 3.2 LA (mid SP)_EV6,45.0,90,97.5,6.25,128.67,102.5,11.25,129.05,102.384,24.07,134.797,180.0,240,12.662,75.653,107.36,7.578,75.653,107.23,0.096,125.342,143.029,16.128,2.0,2.0,triangular,1000000
Set 3.2 LA (mid SP)_EV7,41.5,83,89.917,6.08,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166.0,310,12.132,65.599,97.627,7.383,65.599,97.491,0.112,115.312,132.416,19.899,2.0,2.0,triangular,1000000
Set 3.2 LA (mid SP)_EV8,42.5,85,92.083,6.23,121.52,96.806,10.625,121.88,96.696,22.733,127.308,170.0,64,9.531,69.331,100.083,7.616,69.331,99.946,0.1,118.224,137.624,4.453,2.0,2.0,triangular,1000000
Set 3.2 LA (mid SP)_EV9,52.5,105,113.75,7.11,150.12,119.583,13.125,150.56,119.448,28.082,157.263,210.0,504,12.071,85.387,123.559,8.717,85.387,123.426,0.09,144.276,166.445,31.297,2.0,2.0,triangular,1000000
Set 3.2 LA (mid SP)_EV10,43.0,86,93.167,6.27,122.95,97.944,10.75,123.31,97.834,23.0,128.806,172.0,340,12.235,71.856,102.582,7.518,71.856,102.458,0.094,120.487,140.755,21.914,2.0,2.0,triangular,1000000
Set 3.2 LA (mid SP)_EV11,51.0,102,110.5,7.26,145.83,116.167,12.75,146.26,116.035,27.28,152.77,204.0,226,11.319,84.342,121.067,8.769,84.342,120.938,0.088,141.892,163.131,13.93,2.0,2.0,triangular,1000000
