Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Number of Paths,Average Nodes/Path,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds),a = ml / ,b = ml * ,Activity Distribution,Number of Simulations
Set 3.3 LA (high SP)_EV1,72.0,144,156.0,8.23,205.87,164.0,18.0,206.48,163.815,38.512,215.675,288.0,18,21.667,123.746,167.985,10.259,123.746,167.861,0.073,192.29,217.943,2.874,2.0,2.0,triangular,1000000
Set 3.3 LA (high SP)_EV2,52.5,105,113.75,6.45,150.12,119.583,13.125,150.56,119.448,28.082,157.263,210.0,30,22.867,89.252,123.167,7.983,89.252,123.04,0.093,142.171,163.51,4.119,2.0,2.0,triangular,1000000
Set 3.3 LA (high SP)_EV3,72.0,144,156.0,8.19,205.87,164.0,18.0,206.48,163.815,38.512,215.675,288.0,48,22.0,123.935,168.657,10.097,123.935,168.523,0.078,192.643,219.574,5.925,2.0,2.0,triangular,1000000
Set 3.3 LA (high SP)_EV4,66.5,133,144.083,7.48,190.15,151.472,16.625,190.71,151.301,35.57,199.2,266.0,18,18.889,114.232,155.269,9.283,114.232,155.143,0.08,177.252,205.763,2.797,2.0,2.0,triangular,1000000
Set 3.3 LA (high SP)_EV5,66.5,133,144.083,7.89,190.15,151.472,16.625,190.71,151.301,35.57,199.2,266.0,18,20.667,109.058,155.171,9.836,109.058,155.032,0.082,178.565,203.815,2.953,2.0,2.0,triangular,1000000
Set 3.3 LA (high SP)_EV6,52.0,104,112.667,6.46,148.69,118.444,13.0,149.12,118.311,27.814,155.766,208.0,15,20.933,90.084,124.87,7.812,90.084,124.757,0.085,143.395,162.475,2.678,2.0,2.0,triangular,1000000
Set 3.3 LA (high SP)_EV7,68.0,136,147.333,8.12,194.44,154.889,17.0,195.01,154.714,36.373,203.693,272.0,24,24.5,113.766,159.621,10.012,113.766,159.474,0.086,183.436,207.344,3.825,2.0,2.0,triangular,1000000
Set 3.3 LA (high SP)_EV8,52.0,104,112.667,6.24,148.69,118.444,13.0,149.12,118.311,27.814,155.766,208.0,24,23.25,88.846,121.789,7.701,88.846,121.666,0.094,140.169,157.789,3.744,2.0,2.0,triangular,1000000
Set 3.3 LA (high SP)_EV9,59.0,118,127.833,7.19,168.7,134.389,14.75,169.2,134.237,31.559,176.734,236.0,28,24.0,99.743,138.074,8.852,99.743,137.944,0.089,159.11,181.076,4.229,2.0,2.0,triangular,1000000
Set 3.3 LA (high SP)_EV10,64.0,128,138.667,7.21,183.0,145.778,16.0,183.54,145.613,34.233,191.711,256.0,16,20.75,111.128,149.938,8.916,111.128,149.821,0.076,171.07,194.151,2.722,2.0,2.0,triangular,1000000
Set 3.3 LA (high SP)_EV11,72.5,145,157.083,7.97,207.3,165.139,18.125,207.91,164.952,38.78,217.173,290.0,20,20.8,127.175,170.581,9.893,127.175,170.458,0.072,194.03,221.822,3.11,2.0,2.0,triangular,1000000
Set 3.3 LA (high SP)_EV12,72.5,145,157.083,8.21,207.3,165.139,18.125,207.91,164.952,38.78,217.173,290.0,18,20.778,125.884,170.688,10.028,125.884,170.551,0.074,194.426,219.494,2.901,2.0,2.0,triangular,1000000
Set 3.3 LA (high SP)_EV13,61.0,122,132.167,7.34,174.42,138.944,15.25,174.93,138.787,32.628,182.725,244.0,22,21.0,104.18,142.694,9.05,104.18,142.562,0.084,164.184,185.272,3.24,2.0,2.0,triangular,1000000
Set 3.3 LA (high SP)_EV14,58.0,116,125.667,6.96,165.84,132.111,14.5,166.33,131.962,31.024,173.739,232.0,64,23.0,98.691,136.922,8.572,98.691,136.791,0.088,157.313,178.681,7.592,2.0,2.0,triangular,1000000
Set 3.3 LA (high SP)_EV15,68.0,136,147.333,7.78,194.44,154.889,17.0,195.01,154.714,36.373,203.693,272.0,18,19.111,118.054,159.443,9.655,118.054,159.315,0.079,182.402,205.297,2.769,2.0,2.0,triangular,1000000
Set 3.3 LA (high SP)_EV16,61.5,123,133.25,6.99,175.85,140.083,15.375,176.37,139.925,32.896,184.223,246.0,20,22.9,109.071,145.035,8.602,109.071,144.925,0.076,165.435,189.085,3.213,2.0,2.0,triangular,1000000
